seed,method,effective_method,bootstrap_cycle_flag,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,q_stop,applied,skip_reason
1007,centralized_dqn,centralized_dqn,0,10,2,0,68,0,0,1,0.285386,0.549925,0.562703,0.000000,0.000000,0.000000,0.000000,-1,35,12,33,113.000000,63.833300,17.833300,0.285111,0.370945,0.276992,0.000000,0.012710,0.012784,0.012710,0.549993,0.562703,0.012710,0.285386,0.370945,0.085559,10,0,10,fixed,10,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,10,2,1,52,0,0,1,0.285243,0.549925,0.573474,0.000000,0.000000,0.000000,0.000000,-1,34,13,33,113.000000,63.833300,17.833300,0.293501,0.344449,0.276854,0.000000,0.010771,0.012551,0.010771,0.562703,0.573474,0.010771,0.285243,0.344449,0.059206,10,1,9,fixed,10,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,10,2,2,75,0,0,1,0.285378,0.549925,0.582049,0.000000,0.000000,0.000000,0.000000,-1,33,14,33,113.000000,63.833300,17.833300,0.302391,0.321486,0.276984,0.000000,0.008575,0.012189,0.008575,0.573474,0.582049,0.008575,0.285378,0.321486,0.036108,10,2,8,fixed,10,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,10,2,3,32,0,0,1,0.285231,0.549925,0.588212,0.000000,0.000000,0.000000,0.000000,-1,32,15,33,113.000000,63.833300,17.833300,0.311846,0.301393,0.276842,0.000000,0.006162,0.011667,0.006162,0.582049,0.588212,0.006162,0.285231,0.301393,0.016162,10,3,7,fixed,10,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,10,2,4,19,0,0,2,0.285239,0.549925,0.599230,0.000000,0.000000,0.000000,0.000000,-1,31,16,33,113.000000,63.833300,17.833300,0.321905,0.283664,0.276849,0.000000,0.003589,0.011018,0.011018,0.588212,0.599230,0.011018,0.285239,0.276849,-0.008389,10,4,6,fixed,10,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,10,2,5,64,0,0,2,0.285380,0.549925,0.608758,0.000000,0.000000,0.000000,0.000000,-1,30,16,34,113.000000,63.833300,17.833300,0.332630,0.283664,0.269072,0.000000,0.002816,0.009529,0.009529,0.599230,0.608758,0.009529,0.285380,0.269072,-0.016307,10,5,5,fixed,10,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,10,2,6,9,1,1,2,1.059316,0.549925,0.616668,0.000000,0.000000,0.000000,0.000000,-1,29,16,35,113.000000,63.833300,17.833300,0.887037,0.804553,0.971040,-0.005078,0.000000,0.007910,0.007910,0.608758,0.616668,0.007910,1.059316,0.971040,-0.088276,10,6,4,fixed,10,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,10,2,7,4,0,0,2,0.283052,0.549925,0.623926,0.000000,0.000000,0.000000,0.000000,-1,29,15,36,113.000000,63.833300,17.833300,0.344183,0.301393,0.252452,0.000000,0.003386,0.007258,0.007258,0.616668,0.623926,0.007258,0.283052,0.252452,-0.030600,10,7,3,fixed,10,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,10,2,8,15,0,0,2,0.285239,0.549925,0.629456,0.000000,0.000000,0.000000,0.000000,-1,28,15,37,113.000000,63.833300,17.833300,0.356395,0.301393,0.247707,0.000000,0.002485,0.005530,0.005530,0.623926,0.629456,0.005530,0.285239,0.247707,-0.037531,10,8,2,fixed,10,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,10,2,9,62,1,1,2,1.057669,0.549925,0.635459,0.000000,0.000000,0.000000,0.000000,-1,27,15,38,113.000000,63.833300,17.833300,0.950397,0.858309,0.894951,-0.004843,0.000000,0.006003,0.006003,0.629456,0.635459,0.006003,1.057669,0.894951,-0.162718,10,9,1,fixed,10,1,1,0,0.000000,1,
