seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,q_stop,applied,skip_reason
1007,centralized_dqn,80,1,0,70,1,1,0,0.210927,0.407261,0.456757,0.000000,0.000000,0.000000,0.000000,-1,32,31,17,99.833300,86.166700,63.166700,0.440670,0.210917,0.366519,0.008477,0.000000,0.008834,0.008477,0.448280,0.456757,0.008477,0.210927,0.440670,0.229743,80,0,80,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,1,38,1,1,0,0.210923,0.407261,0.464362,0.000000,0.000000,0.000000,0.000000,-1,33,30,17,99.833300,86.166700,63.166700,0.427709,0.217948,0.366519,0.007605,0.000000,0.008346,0.007605,0.456757,0.464362,0.007605,0.210923,0.427709,0.216786,80,1,79,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,2,34,1,1,0,0.210935,0.407261,0.470992,0.000000,0.000000,0.000000,0.000000,-1,34,29,17,99.833300,86.166700,63.166700,0.415489,0.225462,0.366519,0.006630,0.000000,0.007775,0.006630,0.464362,0.470992,0.006630,0.210935,0.415489,0.204554,80,2,78,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,3,37,0,0,2,0.469931,0.407261,0.472151,0.000000,0.000000,0.000000,0.000000,-1,35,28,17,99.833300,86.166700,63.166700,0.414604,0.225463,0.366519,0.000000,-0.006616,0.001159,0.001159,0.470992,0.472151,0.001159,0.469931,0.366519,-0.103413,80,3,77,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,4,10,1,1,0,0.464216,0.407261,0.472304,0.000000,0.000000,0.000000,0.000000,-1,34,28,18,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.000154,0.000000,0.004369,0.000154,0.472151,0.472304,0.000154,0.464216,0.400668,-0.063549,80,4,76,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,5,7,1,1,2,1.034704,0.407261,0.474614,0.000000,0.000000,0.000000,0.000000,-1,35,27,18,99.833300,86.166700,63.166700,1.038875,1.199400,1.044974,0.000662,0.000000,0.002310,0.002310,0.472304,0.474614,0.002310,1.034704,1.044974,0.010270,80,5,75,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,6,51,0,0,2,1.001670,0.407261,0.477156,0.000000,0.000000,0.000000,0.000000,-1,35,26,19,99.833300,86.166700,63.166700,1.001670,1.160541,1.583113,0.000000,-0.000644,0.002542,0.002542,0.474614,0.477156,0.002542,1.001670,1.583113,0.581443,80,6,74,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,7,46,0,0,2,0.400668,0.407261,0.481313,0.000000,0.000000,0.000000,0.000000,-1,34,26,20,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.000000,-0.000069,0.004157,0.004157,0.477156,0.481313,0.004157,0.400668,0.633245,0.232577,80,7,73,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,8,20,0,0,2,1.001670,0.407261,0.483928,0.000000,0.000000,0.000000,0.000000,-1,33,26,21,99.833300,86.166700,63.166700,1.001670,1.160541,1.583113,0.000000,-0.000663,0.002615,0.002615,0.481313,0.483928,0.002615,1.001670,1.583113,0.581443,80,8,72,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,9,17,1,1,2,0.464216,0.407261,0.488276,0.000000,0.000000,0.000000,0.000000,-1,32,26,22,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.000071,0.000000,0.004348,0.004348,0.483928,0.488276,0.004348,0.464216,0.633245,0.169029,80,9,71,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,10,55,0,0,2,1.001670,0.407261,0.490967,0.000000,0.000000,0.000000,0.000000,-1,32,25,23,99.833300,86.166700,63.166700,1.001670,1.160541,1.583113,0.000000,-0.000682,0.002691,0.002691,0.488276,0.490967,0.002691,1.001670,1.583113,0.581443,80,10,70,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,80,1,11,80,1,1,0,0.464216,0.407261,0.491040,0.000000,0.000000,0.000000,0.000000,-1,31,25,24,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.000073,0.000000,0.004476,0.000073,0.490967,0.491040,0.000073,0.464216,0.400668,-0.063549,80,11,69,fixed,80,1,1,0,0.000000,1,
