seed,method,effective_method,bootstrap_cycle_flag,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,q_stop,applied,skip_reason
1007,centralized_dqn,centralized_dqn,0,80,2,0,37,0,0,1,0.285231,0.549925,0.562703,0.000000,0.000000,0.000000,0.000000,-1,35,12,33,113.000000,63.833300,17.833300,0.285116,0.370945,0.276842,0.000000,0.012710,0.012776,0.012710,0.549993,0.562703,0.012710,0.285231,0.370945,0.085714,80,0,80,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,1,64,0,0,1,0.285380,0.549925,0.573474,0.000000,0.000000,0.000000,0.000000,-1,34,13,33,113.000000,63.833300,17.833300,0.293497,0.344449,0.276986,0.000000,0.010771,0.012559,0.010771,0.562703,0.573474,0.010771,0.285380,0.344449,0.059069,80,1,79,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,2,4,0,0,1,0.283052,0.549925,0.582046,0.000000,0.000000,0.000000,0.000000,-1,33,14,33,113.000000,63.833300,17.833300,0.302464,0.321486,0.274727,0.000000,0.008572,0.012059,0.008572,0.573474,0.582046,0.008572,0.283052,0.321486,0.038433,80,2,78,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,3,15,0,0,1,0.285239,0.549925,0.588209,0.000000,0.000000,0.000000,0.000000,-1,32,15,33,113.000000,63.833300,17.833300,0.311845,0.301393,0.276849,0.000000,0.006162,0.011668,0.006162,0.582046,0.588209,0.006162,0.285239,0.301393,0.016154,80,3,77,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,4,19,0,0,1,0.285239,0.549925,0.591798,0.000000,0.000000,0.000000,0.000000,-1,31,16,33,113.000000,63.833300,17.833300,0.321905,0.283664,0.276849,0.000000,0.003589,0.011018,0.003589,0.588209,0.591798,0.003589,0.285239,0.283664,-0.001575,80,4,76,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,5,68,0,0,1,0.285386,0.549925,0.592717,0.000000,0.000000,0.000000,0.000000,-1,30,17,33,113.000000,63.833300,17.833300,0.332630,0.267905,0.276992,0.000000,0.000919,0.010253,0.000919,0.591798,0.592717,0.000919,0.285386,0.267905,-0.017481,80,5,75,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,6,9,1,1,2,1.059316,0.549925,0.604019,0.000000,0.000000,0.000000,0.000000,-1,29,18,33,113.000000,63.833300,17.833300,0.887037,0.715158,1.028160,-0.002342,0.000000,0.011302,0.011302,0.592717,0.604019,0.011302,1.059316,1.028160,-0.031156,80,6,74,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,7,7,1,1,2,1.096867,0.549925,0.614934,0.000000,0.000000,0.000000,0.000000,-1,29,17,34,113.000000,63.833300,17.833300,0.887037,0.754816,1.034189,-0.003116,0.000000,0.010916,0.010916,0.604019,0.614934,0.010916,1.096867,1.034189,-0.062678,80,7,73,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,8,14,1,1,2,1.048506,0.549925,0.624971,0.000000,0.000000,0.000000,0.000000,-1,29,16,35,113.000000,63.833300,17.833300,0.887037,0.805290,0.961130,-0.003980,0.000000,0.010037,0.010037,0.614934,0.624971,0.010037,1.048506,0.961130,-0.087375,80,8,72,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,9,62,1,1,2,1.057669,0.549925,0.634319,0.000000,0.000000,0.000000,0.000000,-1,29,15,36,113.000000,63.833300,17.833300,0.887037,0.858309,0.943327,-0.004853,0.000000,0.009348,0.009348,0.624971,0.634319,0.009348,1.057669,0.943327,-0.114343,80,9,71,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,10,75,0,0,1,0.285378,0.549925,0.638037,0.000000,0.000000,0.000000,0.000000,-1,29,14,37,113.000000,63.833300,17.833300,0.344100,0.321486,0.247828,0.000000,0.003718,0.007960,0.003718,0.634319,0.638037,0.003718,0.285378,0.321486,0.036108,80,10,70,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,11,76,1,1,2,1.059688,0.549925,0.648175,0.000000,0.000000,0.000000,0.000000,-1,28,15,37,113.000000,63.833300,17.833300,0.917625,0.858163,0.920255,-0.003714,0.000000,0.010138,0.010138,0.638037,0.648175,0.010138,1.059688,0.920255,-0.139433,80,11,69,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,12,52,0,0,1,0.285243,0.549925,0.650307,0.000000,0.000000,0.000000,0.000000,-1,28,14,38,113.000000,63.833300,17.833300,0.356394,0.321486,0.241360,0.000000,0.002133,0.006503,0.002133,0.648175,0.650307,0.002133,0.285243,0.321486,0.036242,80,12,68,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,13,66,0,0,2,0.285386,0.549925,0.655785,0.000000,0.000000,0.000000,0.000000,-1,27,15,38,113.000000,63.833300,17.833300,0.369589,0.301393,0.241480,0.000000,-0.001110,0.005478,0.005478,0.650307,0.655785,0.005478,0.285386,0.241480,-0.043905,80,13,67,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,14,25,0,0,2,0.285244,0.549925,0.659096,0.000000,0.000000,0.000000,0.000000,-1,26,15,39,113.000000,63.833300,17.833300,0.383809,0.301393,0.235326,0.000000,-0.002201,0.003310,0.003310,0.655785,0.659096,0.003310,0.285244,0.235326,-0.049918,80,14,66,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,15,33,0,0,2,0.285232,0.549925,0.660181,0.000000,0.000000,0.000000,0.000000,-1,25,15,40,113.000000,63.833300,17.833300,0.399162,0.301393,0.229577,0.000000,-0.003302,0.001086,0.001086,0.659096,0.660181,0.001086,0.285232,0.229577,-0.055655,80,15,65,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,16,54,0,0,2,0.285240,0.549925,0.659022,0.000000,0.000000,0.000000,0.000000,-1,24,15,41,113.000000,63.833300,17.833300,0.415794,0.301393,0.224117,0.000000,-0.004392,-0.001159,-0.001159,0.660181,0.659022,-0.001159,0.285240,0.224117,-0.061123,80,16,64,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,2,17,12,0,0,2,0.285243,0.549925,0.655641,0.000000,0.000000,0.000000,0.000000,-1,23,15,42,113.000000,63.833300,17.833300,0.433871,0.301393,0.218908,0.000000,-0.005449,-0.003381,-0.003381,0.659022,0.655641,-0.003381,0.285243,0.218908,-0.066336,80,17,63,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,3,0,73,2,2,1,0.572793,0.461121,0.464706,0.000000,0.000000,0.000000,0.000000,-1,22,15,43,113.000000,77.833300,69.833300,0.353982,0.513919,0.572793,-0.006443,-0.004876,0.000000,-0.004876,0.469582,0.464706,-0.004876,0.572793,0.513919,-0.058874,80,0,80,fixed,80,1,1,0,0.000000,1,
1007,centralized_dqn,centralized_dqn,0,80,3,1,44,2,2,1,0.572793,0.461121,0.459930,0.000000,0.000000,0.000000,0.000000,-1,22,16,42,113.000000,77.833300,69.833300,0.353982,0.513919,0.572793,-0.006310,-0.004776,0.000000,-0.004776,0.464706,0.459930,-0.004776,0.572793,0.513919,-0.058874,80,1,79,fixed,80,1,1,0,0.000000,1,
