seed,method,teacher_source,cycle_id,step_id,action_id,target_ue_id,previous_bs_id,selected_bs_id,applied,skip_reason,h_before_cycle_estimated,h_after_final_estimated,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before_estimated,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,switch_count_in_cycle,num_remaining_switches_before,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2
41,logistic,logistic,1,0,144,49,2,0,1,,0.402191,0.992839,0.402296,0.424038,0.021742,0.113857,0.894247,0.780390,58,58,29,27,24,99.666700,80.333300,62.000000
41,logistic,logistic,1,1,21,8,2,0,1,,0.402191,0.992839,0.424038,0.446244,0.022206,0.118828,0.865401,0.746572,58,57,30,27,23,99.666700,80.333300,62.000000
41,logistic,logistic,1,2,216,73,2,0,1,,0.402191,0.992839,0.446244,0.468680,0.022436,0.124230,0.838357,0.714127,58,56,31,27,22,99.666700,80.333300,62.000000
41,logistic,logistic,1,3,3,2,2,0,1,,0.402191,0.992839,0.468680,0.491049,0.022369,0.130147,0.812952,0.682806,58,55,32,27,21,99.666700,80.333300,62.000000
41,logistic,logistic,1,4,126,43,2,0,1,,0.402191,0.992839,0.491049,0.512990,0.021941,0.136675,0.789042,0.652367,58,54,33,27,20,99.666700,80.333300,62.000000
41,logistic,logistic,1,5,63,22,2,0,1,,0.402191,0.992839,0.512990,0.534093,0.021103,0.143870,0.766498,0.622628,58,53,34,27,19,99.666700,80.333300,62.000000
41,logistic,logistic,1,6,30,11,2,0,1,,0.402191,0.992839,0.534093,0.553897,0.019805,0.151863,0.745206,0.593344,58,52,35,27,18,99.666700,80.333300,62.000000
41,logistic,logistic,1,7,48,17,2,0,1,,0.402191,0.992839,0.553897,0.571912,0.018015,0.160796,0.725065,0.564269,58,51,36,27,17,99.666700,80.333300,62.000000
41,logistic,logistic,1,8,0,1,1,0,1,,0.402191,0.992839,0.571912,0.584442,0.012530,0.263643,0.705985,0.442341,58,50,37,27,16,99.666700,80.333300,62.000000
41,logistic,logistic,1,9,129,44,1,0,1,,0.402191,0.992839,0.584442,0.595951,0.011509,0.273784,0.687883,0.414099,58,49,38,26,16,99.666700,80.333300,62.000000
41,logistic,logistic,1,10,99,34,1,0,1,,0.402191,0.992839,0.595951,0.606284,0.010333,0.284736,0.670686,0.385950,58,48,39,25,16,99.666700,80.333300,62.000000
