seed,method,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta
9,multi_greedy,1,1,1,1,2,1.448068,87.500000,0.181008,34,0.282646,49,0,1,0,0.282646,0.305714,0.023068,0.023068,0.282646,0.000000,1,0,1,0,26,34,20,86.000000,87.500000,145.500000,0.732658,0.172368,0.094130,0.015316,0.008132,0.000351,0.015316
9,multi_greedy,1,2,1,1,3,0.000000,87.500000,1.142857,34,0.282646,49,0,1,0,0.282646,0.305714,0.023068,0.023068,0.282646,0.000000,1,0,1,1,26,34,20,86.000000,87.500000,145.500000,1.162791,1.142857,0.687285,0.010672,0.008132,0.004838,0.010672
9,multi_greedy,1,3,1,1,3,0.000000,87.500000,1.142857,34,0.282646,49,0,1,0,0.282646,0.305714,0.023068,0.023068,0.282646,0.000000,1,0,1,1,26,34,20,86.000000,87.500000,145.500000,1.162791,1.142857,0.687285,0.010672,0.008132,0.004838,0.010672
9,multi_greedy,1,4,1,1,1,3.144112,87.500000,1.048037,34,0.282646,49,0,1,0,0.282646,0.305714,0.023068,0.023068,0.282646,0.000000,1,0,1,1,26,34,20,86.000000,87.500000,145.500000,1.131144,1.004461,0.633313,0.010744,0.008132,0.004805,0.010744
9,multi_greedy,1,5,0,0,4,0.000000,86.000000,0.465116,26,0.282646,49,0,0,0,0.282646,0.305714,0.023068,0.023068,0.282646,0.000000,1,0,1,0,26,34,20,86.000000,87.500000,145.500000,0.465116,0.457143,0.274914,0.008132,0.005613,0.001495,0.005613
9,multi_greedy,1,6,0,0,2,5.742950,86.000000,0.717869,26,0.282646,49,0,0,0,0.282646,0.305714,0.023068,0.023068,0.282646,0.000000,1,0,1,-1,26,34,20,86.000000,87.500000,145.500000,0.769430,0.167968,0.094130,0.008132,0.000846,-0.006247,0.000846
9,multi_greedy,1,7,2,2,3,0.000000,145.500000,0.687285,20,0.282646,49,0,2,0,0.282646,0.305714,0.023068,0.023068,0.282646,0.000000,1,0,1,0,26,34,20,86.000000,87.500000,145.500000,1.162791,1.142857,0.687285,0.014101,0.011502,0.008132,0.014101
9,multi_greedy,1,8,0,0,3,0.000000,86.000000,1.162791,26,0.282646,49,0,0,0,0.282646,0.305714,0.023068,0.023068,0.282646,0.000000,1,0,1,-1,26,34,20,86.000000,87.500000,145.500000,1.162791,1.142857,0.687285,0.008132,0.005636,0.002398,0.005636
9,multi_greedy,1,9,1,1,2,1.504909,87.500000,0.188114,34,0.282646,49,0,1,0,0.282646,0.305714,0.023068,0.023068,0.282646,0.000000,1,0,1,0,26,34,20,86.000000,87.500000,145.500000,0.732658,0.171895,0.094130,0.015333,0.008132,0.000366,0.015333
9,multi_greedy,1,10,1,1,1,3.137360,87.500000,1.045787,34,0.282646,49,0,1,0,0.282646,0.305714,0.023068,0.023068,0.282646,0.000000,1,0,1,1,26,34,20,86.000000,87.500000,145.500000,1.131144,1.005023,0.633313,0.010743,0.008132,0.004804,0.010743
