seed,method,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,applied,skip_reason
1001,multi_dqn,1,0,20,2,2,1,0.057512,0.190695,0.190695,0.171436,0.256865,0.398288,0.226853,1,
1001,multi_dqn,1,1,35,2,2,1,0.057379,0.190695,0.190695,0.158216,0.261586,0.387827,0.229611,1,
1001,multi_dqn,1,2,4,2,2,1,0.057241,0.190695,0.190695,0.145295,0.265687,0.377384,0.232089,1,
1001,multi_dqn,1,3,10,2,2,1,0.057103,0.190695,0.190695,0.135177,0.269090,0.368521,0.233344,1,
1001,multi_dqn,1,4,21,2,2,1,0.051641,0.190695,0.190695,0.112732,0.269357,0.350138,0.237405,1,
1001,multi_dqn,1,5,23,2,2,1,0.051636,0.190695,0.190695,0.099663,0.269018,0.342647,0.242984,1,
1001,multi_dqn,1,6,9,2,2,1,0.051641,0.190695,0.190695,0.088970,0.267838,0.341431,0.252461,1,
1001,multi_dqn,1,7,15,2,2,1,0.046177,0.190695,0.190695,0.078799,0.268843,0.338182,0.259383,1,
1001,multi_dqn,2,0,29,2,2,1,0.056141,0.243349,0.243349,0.128979,0.253559,0.333938,0.204959,1,
1001,multi_dqn,2,1,80,2,2,1,0.056289,0.243349,0.243349,0.124779,0.254888,0.334814,0.210035,1,
1001,multi_dqn,2,2,20,1,2,1,0.326901,0.243349,0.243349,0.119563,0.254690,0.335982,0.216419,0,same_bs
1001,multi_dqn,2,3,21,1,2,1,0.163262,0.243349,0.243349,0.112818,0.254350,0.336937,0.224120,0,same_bs
1001,multi_dqn,2,4,7,2,2,1,0.056149,0.243349,0.243349,0.102821,0.253423,0.336928,0.234107,1,
1001,multi_dqn,2,5,75,2,2,1,0.056272,0.243349,0.243349,0.096225,0.251551,0.337848,0.241623,1,
1001,multi_dqn,2,6,9,1,2,1,0.327181,0.243349,0.243349,0.093217,0.250957,0.340674,0.247457,0,same_bs
1001,multi_dqn,2,7,10,1,2,1,0.327176,0.243349,0.243349,0.096946,0.249946,0.351752,0.254806,0,same_bs
1001,multi_dqn,3,0,23,1,2,1,0.256829,0.291866,0.291866,0.187992,0.184662,0.280485,0.092493,0,same_bs
1001,multi_dqn,3,1,42,2,2,1,0.061201,0.291866,0.291866,0.192539,0.183414,0.284667,0.092128,1,
1001,multi_dqn,3,2,29,1,2,1,0.263112,0.291866,0.291866,0.198977,0.179963,0.290922,0.091945,0,same_bs
1001,multi_dqn,3,3,34,2,2,1,0.061203,0.291866,0.291866,0.205609,0.177247,0.296302,0.090693,1,
1001,multi_dqn,3,4,4,1,2,1,0.255194,0.291866,0.291866,0.211581,0.176129,0.305604,0.094023,0,same_bs
1001,multi_dqn,3,5,7,1,2,1,0.263117,0.291866,0.291866,0.216932,0.173205,0.320121,0.103188,0,same_bs
1001,multi_dqn,3,6,10,1,2,1,0.256826,0.291866,0.291866,0.223359,0.172211,0.334395,0.111037,0,same_bs
1001,multi_dqn,3,7,9,1,2,1,0.254653,0.291866,0.291866,0.226841,0.171220,0.345294,0.118453,0,same_bs
1001,multi_dqn,4,0,4,1,2,1,0.248357,0.317789,0.317789,0.206826,0.079097,0.155030,-0.051796,0,same_bs
1001,multi_dqn,4,1,80,1,2,1,0.245354,0.317789,0.317789,0.210031,0.073481,0.155635,-0.054397,0,same_bs
1001,multi_dqn,4,2,7,1,2,1,0.245212,0.317789,0.317789,0.214639,0.072011,0.159396,-0.055243,0,same_bs
1001,multi_dqn,4,3,69,2,2,1,0.072673,0.317789,0.317789,0.215494,0.070737,0.163098,-0.052395,1,
1001,multi_dqn,4,4,9,1,2,1,0.248354,0.317789,0.317789,0.216695,0.067173,0.171823,-0.044872,0,same_bs
1001,multi_dqn,4,5,10,1,2,1,0.248218,0.317789,0.317789,0.219949,0.064668,0.184732,-0.035217,0,same_bs
1001,multi_dqn,4,6,15,1,2,1,0.248218,0.317789,0.317789,0.222981,0.062294,0.199113,-0.023868,0,same_bs
1001,multi_dqn,4,7,75,1,2,1,0.243850,0.317789,0.317789,0.218055,0.057718,0.205714,-0.012340,0,same_bs
