seed,method,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_after_estimated,reward,measurement_valid
12,multi_greedy,1,1,2,2,1,1.067205,116.333000,0.355735,25,0.277737,59,0,2,0,0.379766,0.102028,1
12,multi_greedy,1,2,0,0,2,4.403358,101.833000,0.550420,27,0.277737,59,0,0,0,0.379766,0.102028,1
12,multi_greedy,1,3,2,2,4,0.000000,116.333000,0.343841,25,0.277737,59,0,2,0,0.379766,0.102028,1
12,multi_greedy,1,4,1,1,1,2.934354,82.666700,0.978118,28,0.277737,59,0,1,0,0.379766,0.102028,1
12,multi_greedy,1,5,1,1,2,1.479782,82.666700,0.184973,28,0.277737,59,0,1,0,0.379766,0.102028,1
12,multi_greedy,1,6,2,2,1,2.124718,116.333000,0.708239,25,0.277737,59,0,2,0,0.379766,0.102028,1
12,multi_greedy,1,7,0,0,2,4.487286,101.833000,0.560911,27,0.277737,59,0,0,0,0.379766,0.102028,1
12,multi_greedy,1,8,0,0,2,0.000000,101.833000,0.100000,27,0.277737,59,0,0,0,0.379766,0.102028,0
12,multi_greedy,1,9,0,0,2,4.828160,101.833000,0.603520,27,0.277737,59,0,0,0,0.379766,0.102028,1
12,multi_greedy,1,10,1,1,2,1.390133,82.666700,0.173767,28,0.277737,59,0,1,0,0.379766,0.102028,1
12,multi_greedy,1,11,2,2,4,0.000000,116.333000,0.343841,25,0.277737,59,0,2,0,0.379766,0.102028,1
12,multi_greedy,1,12,2,2,2,0.764997,116.333000,0.095625,25,0.277737,59,0,2,0,0.379766,0.102028,1
12,multi_greedy,1,13,2,2,2,0.892806,116.333000,0.111601,25,0.277737,59,0,0,1,0.379766,0.102028,1
12,multi_greedy,1,14,0,0,2,5.069815,101.833000,0.633727,27,0.277737,59,0,0,0,0.379766,0.102028,1
12,multi_greedy,1,15,0,0,1,3.524891,101.833000,1.174964,27,0.277737,59,0,0,0,0.379766,0.102028,1
12,multi_greedy,1,16,0,0,2,5.068722,101.833000,0.633590,27,0.277737,59,0,0,0,0.379766,0.102028,1
12,multi_greedy,1,17,0,0,3,0.000000,101.833000,0.982000,27,0.277737,59,0,0,0,0.379766,0.102028,1
12,multi_greedy,1,18,0,0,4,0.000000,101.833000,0.392800,27,0.277737,59,0,0,0,0.379766,0.102028,1
12,multi_greedy,1,19,2,2,3,0.000000,116.333000,0.859601,25,0.277737,59,0,2,0,0.379766,0.102028,1
12,multi_greedy,1,20,0,0,4,0.000000,101.833000,0.392800,27,0.277737,59,0,0,0,0.379766,0.102028,1
12,multi_greedy,1,21,1,1,2,1.390221,82.666700,0.173778,28,0.277737,59,0,1,0,0.379766,0.102028,1
12,multi_greedy,1,22,0,0,2,5.067652,101.833000,0.633456,27,0.277737,59,0,0,0,0.379766,0.102028,1
12,multi_greedy,1,23,1,1,2,1.390126,82.666700,0.173766,28,0.277737,59,0,1,0,0.379766,0.102028,1
12,multi_greedy,1,24,1,1,4,0.000000,82.666700,0.483871,28,0.277737,59,0,1,0,0.379766,0.102028,1
12,multi_greedy,1,25,1,1,2,1.387964,82.666700,0.173495,28,0.277737,59,0,1,0,0.379766,0.102028,1
