seed,method,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta
14,multi_greedy,1,1,1,1,3,0.000000,86.333300,1.158302,22,0.405602,48,0,1,0,0.405602,0.428327,0.022725,0.022725,0.405602,0.000000,1,0,1,-1,31,22,27,96.333300,86.333300,150.500000,1.038063,1.158302,0.664452,0.006500,0.005021,0.001614,0.006500
14,multi_greedy,1,2,1,1,2,2.804405,86.333300,0.350551,22,0.405602,48,0,1,0,0.405602,0.428327,0.022725,0.022725,0.405602,0.000000,1,0,1,0,31,22,27,96.333300,86.333300,150.500000,0.713433,0.356576,0.126394,0.009440,0.005021,-0.007689,0.009440
14,multi_greedy,1,3,2,2,4,0.000000,150.500000,0.265781,27,0.405602,48,0,2,0,0.405602,0.428327,0.022725,0.022725,0.405602,0.000000,1,0,1,0,31,22,27,96.333300,86.333300,150.500000,0.415225,0.463321,0.265781,0.011751,0.010558,0.005021,0.011751
14,multi_greedy,1,4,1,1,2,2.784726,86.333300,0.348091,22,0.405602,48,0,1,0,0.405602,0.428327,0.022725,0.022725,0.405602,0.000000,1,0,1,0,31,22,27,96.333300,86.333300,150.500000,0.713433,0.356850,0.126394,0.009436,0.005021,-0.007693,0.009436
14,multi_greedy,1,5,0,0,1,3.507566,96.333300,1.169189,31,0.405602,48,0,0,0,0.405602,0.428327,0.022725,0.022725,0.405602,0.000000,1,0,1,1,31,22,27,96.333300,86.333300,150.500000,1.122286,1.117814,0.897034,0.005021,0.003275,0.000766,0.003275
14,multi_greedy,1,6,0,0,4,0.000000,96.333300,0.415225,31,0.405602,48,0,0,0,0.405602,0.428327,0.022725,0.022725,0.405602,0.000000,1,0,1,0,31,22,27,96.333300,86.333300,150.500000,0.415225,0.463321,0.265781,0.005021,0.003866,-0.001496,0.003866
14,multi_greedy,1,7,1,1,4,0.000000,86.333300,0.463321,22,0.405602,48,0,1,0,0.405602,0.428327,0.022725,0.022725,0.405602,0.000000,1,0,1,0,31,22,27,96.333300,86.333300,150.500000,0.415225,0.463321,0.265781,0.006182,0.005021,-0.000371,0.006182
14,multi_greedy,1,8,0,0,3,0.000000,96.333300,1.038063,31,0.405602,48,0,0,0,0.405602,0.428327,0.022725,0.022725,0.405602,0.000000,1,0,1,1,31,22,27,96.333300,86.333300,150.500000,1.038063,1.158302,0.664452,0.005021,0.003552,0.000169,0.003552
14,multi_greedy,1,9,0,0,4,0.000000,96.333300,0.415225,31,0.405602,48,0,0,0,0.405602,0.428327,0.022725,0.022725,0.405602,0.000000,1,0,1,0,31,22,27,96.333300,86.333300,150.500000,0.415225,0.463321,0.265781,0.005021,0.003866,-0.001496,0.003866
14,multi_greedy,1,10,2,2,3,0.000000,150.500000,0.664452,27,0.405602,48,0,2,0,0.405602,0.428327,0.022725,0.022725,0.405602,0.000000,1,0,1,0,31,22,27,96.333300,86.333300,150.500000,1.038063,1.158302,0.664452,0.009990,0.008485,0.005021,0.009990
