seed,method,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,applied,skip_reason
22,online_dqn,1,0,58,2,2,2,0.067213,0.320756,0.320756,0.000000,1.013333,1.146133,1.212069,0,same_bs
22,online_dqn,1,1,27,2,2,2,0.067348,0.320756,0.320756,0.000000,1.013344,1.146178,1.212064,0,same_bs
22,online_dqn,1,2,57,2,2,2,0.077871,0.320756,0.320756,0.000000,1.014240,1.149646,1.211612,0,same_bs
22,online_dqn,1,3,60,2,2,2,0.078552,0.320756,0.320756,0.000000,1.014298,1.149870,1.211582,0,same_bs
22,online_dqn,1,4,1,2,2,2,0.078958,0.320756,0.320756,0.000000,1.014332,1.150003,1.211565,0,same_bs
22,online_dqn,1,5,35,2,2,2,0.095079,0.320756,0.320756,0.000000,1.015705,1.155316,1.210873,0,same_bs
22,online_dqn,1,6,26,2,2,2,0.095215,0.320756,0.320756,0.000000,1.015716,1.155360,1.210867,0,same_bs
22,online_dqn,1,7,41,2,2,2,0.102868,0.320756,0.320756,0.000000,1.016368,1.157883,1.210539,0,same_bs
22,online_dqn,1,8,72,2,2,2,0.102875,0.320756,0.320756,0.000000,1.016368,1.157885,1.210538,0,same_bs
22,online_dqn,1,9,59,2,2,2,0.103142,0.320756,0.320756,0.000000,1.016391,1.157973,1.210527,0,same_bs
22,online_dqn,1,10,49,1,1,0,0.251635,0.320756,0.320756,0.031276,1.113974,1.082699,1.009885,1,
22,online_dqn,1,11,73,1,1,0,0.251911,0.320756,0.320756,0.102792,1.125304,1.022512,1.052533,1,
22,online_dqn,1,12,2,1,1,0,0.252038,0.320756,0.320756,0.162269,1.134429,0.972160,1.092859,1,
22,online_dqn,1,13,16,1,1,0,0.258731,0.320756,0.320756,0.216622,1.141836,0.925214,1.134020,1,
22,online_dqn,1,14,4,1,1,0,0.258735,0.320756,0.320756,0.276196,1.150994,0.874798,1.174330,1,
22,online_dqn,1,15,34,1,1,2,0.258866,0.320756,0.320756,0.390208,1.160120,0.824448,1.214656,1,
22,online_dqn,1,16,30,1,1,2,0.258868,0.320756,0.320756,0.473823,1.164442,0.776210,1.250034,1,
22,online_dqn,1,17,40,1,1,2,0.258869,0.320756,0.320756,0.573866,1.182369,0.710358,1.284225,1,
22,online_dqn,1,18,32,1,1,2,0.258878,0.320756,0.320756,0.670058,1.205691,0.641042,1.311100,1,
22,online_dqn,1,19,22,1,1,2,0.259012,0.320756,0.320756,0.718139,1.224082,0.598805,1.316944,1,
22,online_dqn,1,20,55,1,1,2,0.259018,0.320756,0.320756,0.766222,1.242504,0.556514,1.322736,1,
22,online_dqn,1,21,21,2,2,2,0.390244,0.320756,0.320756,0.000000,0.456419,1.208391,1.432683,0,same_bs
22,online_dqn,1,22,66,2,2,2,0.390244,0.320756,0.320756,0.000000,0.456419,1.208391,1.432683,0,same_bs
22,online_dqn,1,23,51,2,2,2,0.390244,0.320756,0.320756,0.000000,0.456419,1.208391,1.432683,0,same_bs
22,online_dqn,1,24,48,2,2,0,0.390244,0.320756,0.320756,-0.976264,0.456419,1.208391,1.432683,1,
22,online_dqn,1,25,47,2,2,2,0.390244,0.320756,0.320756,0.000000,0.469287,1.182711,1.435188,0,same_bs
22,online_dqn,1,26,37,2,2,2,0.390244,0.320756,0.320756,0.000000,0.469287,1.182711,1.435188,0,same_bs
22,online_dqn,1,27,17,2,2,1,0.403312,0.320756,0.320756,0.076443,1.114044,1.257695,1.181252,1,
22,online_dqn,1,28,63,2,2,1,0.486599,0.320756,0.320756,0.057501,1.117258,1.242938,1.185437,1,
22,online_dqn,1,29,75,1,1,0,0.490798,0.320756,0.320756,0.385939,0.934983,0.549044,1.458313,1,
22,online_dqn,2,0,57,2,2,0,0.047132,0.189307,0.189307,0.336848,1.373609,-0.126185,1.036761,1,
22,online_dqn,2,1,26,2,2,0,0.047135,0.189307,0.189307,0.224344,1.280387,-0.104868,1.056043,1,
22,online_dqn,2,2,60,2,2,0,0.048074,0.189307,0.189307,0.110058,1.186410,-0.084030,1.076352,1,
22,online_dqn,2,3,59,2,2,0,0.048077,0.189307,0.189307,0.013236,1.104195,-0.061378,1.090959,1,
22,online_dqn,2,4,58,2,2,2,0.048086,0.189307,0.189307,0.000000,1.046801,-0.006181,1.062757,0,same_bs
