seed,method,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,applied,skip_reason
24,online_dqn,1,0,26,2,2,1,0.050403,0.292433,0.292433,0.441531,1.509048,2.494411,2.052880,1,
24,online_dqn,1,1,5,2,2,1,0.053277,0.292433,0.292433,0.467698,1.500344,2.459388,1.991691,1,
24,online_dqn,1,2,56,2,2,1,0.069810,0.292433,0.292433,0.486740,1.498627,2.423162,1.936422,1,
24,online_dqn,1,3,45,2,2,1,0.085514,0.292433,0.292433,0.506212,1.496485,2.387008,1.880796,1,
24,online_dqn,1,4,53,2,2,1,0.085653,0.292433,0.292433,0.535727,1.484532,2.354559,1.818832,1,
24,online_dqn,1,5,75,2,2,1,0.085923,0.292433,0.292433,0.570257,1.467740,2.328272,1.758015,1,
24,online_dqn,1,6,13,2,2,1,0.085931,0.292433,0.292433,0.602522,1.452699,2.299887,1.697364,1,
24,online_dqn,1,7,38,0,0,0,0.094399,0.292433,0.292433,0.000000,2.010956,1.334962,1.488989,0,same_bs
24,online_dqn,1,8,78,2,2,1,0.103684,0.292433,0.292433,0.622077,1.449373,2.267014,1.644937,1,
24,online_dqn,1,9,50,2,2,1,0.110115,0.292433,0.292433,0.647729,1.440151,2.235229,1.587499,1,
24,online_dqn,1,10,52,2,2,1,0.110116,0.292433,0.292433,0.657606,1.418211,2.208097,1.550492,1,
24,online_dqn,1,11,55,2,2,1,0.297398,0.292433,0.292433,0.483424,1.314925,2.217776,1.734352,1,
24,online_dqn,1,12,37,2,2,1,0.297398,0.292433,0.292433,0.488186,1.290494,2.191718,1.703532,1,
24,online_dqn,1,13,61,2,2,1,0.297398,0.292433,0.292433,0.492948,1.266064,2.165662,1.672714,1,
24,online_dqn,1,14,30,2,2,1,0.297398,0.292433,0.292433,0.497711,1.241632,2.139605,1.641894,1,
24,online_dqn,1,15,60,2,2,1,0.297398,0.292433,0.292433,0.482680,1.241125,2.090912,1.608232,1,
24,online_dqn,2,0,9,1,1,2,0.186194,0.401682,0.401682,0.386971,1.437097,1.504241,1.891212,1,
24,online_dqn,2,1,15,1,1,2,0.186203,0.401682,0.401682,0.323873,1.377614,1.535569,1.859442,1,
24,online_dqn,2,2,38,0,0,0,0.186608,0.401682,0.401682,0.000000,1.783397,1.596928,1.763219,0,same_bs
24,online_dqn,2,3,69,1,1,2,0.186756,0.401682,0.401682,0.252654,1.337693,1.566558,1.819213,1,
24,online_dqn,2,4,71,1,1,2,0.186757,0.401682,0.401682,0.193677,1.300545,1.590053,1.783731,1,
24,online_dqn,2,5,27,1,1,2,0.186874,0.401682,0.401682,0.139431,1.262111,1.611231,1.750662,1,
24,online_dqn,2,6,57,1,1,2,0.186877,0.401682,0.401682,0.097876,1.254124,1.622615,1.720492,1,
24,online_dqn,2,7,72,1,1,2,0.186895,0.401682,0.401682,0.143595,1.284461,1.584287,1.727882,1,
24,online_dqn,2,8,17,1,1,2,0.187006,0.401682,0.401682,0.192328,1.330344,1.550562,1.742890,1,
24,online_dqn,2,9,19,1,1,2,0.187010,0.401682,0.401682,0.235113,1.375621,1.521072,1.756184,1,
24,online_dqn,2,10,77,1,1,2,0.187015,0.401682,0.401682,0.277091,1.422510,1.488818,1.765909,1,
24,online_dqn,2,11,5,1,1,2,0.190850,0.401682,0.401682,0.325913,1.505763,1.441052,1.766965,1,
24,online_dqn,2,12,45,1,1,2,0.190988,0.401682,0.401682,0.383350,1.555052,1.403283,1.786633,1,
24,online_dqn,2,13,56,1,1,2,0.191805,0.401682,0.401682,0.446351,1.587731,1.367517,1.813869,1,
24,online_dqn,2,14,53,1,1,2,0.191941,0.401682,0.401682,0.514123,1.605782,1.332200,1.846323,1,
24,online_dqn,2,15,52,1,1,2,0.191943,0.401682,0.401682,0.581867,1.623829,1.296874,1.878740,1,
24,online_dqn,3,0,71,2,2,0,0.040850,0.172858,0.172858,0.060155,1.923427,1.601204,1.863272,1,
24,online_dqn,3,1,17,2,2,0,0.040980,0.172858,0.172858,0.008156,1.957872,1.526394,1.949716,1,
24,online_dqn,3,2,19,2,2,2,0.040981,0.172858,0.172858,0.000000,1.999999,1.460083,2.045180,0,same_bs
24,online_dqn,3,3,52,2,2,2,0.040983,0.172858,0.172858,0.000000,1.999998,1.460083,2.045181,0,same_bs
24,online_dqn,3,4,27,2,2,2,0.040983,0.172858,0.172858,0.000000,1.999998,1.460083,2.045181,0,same_bs
24,online_dqn,3,5,77,2,2,2,0.040984,0.172858,0.172858,0.000000,1.999997,1.460082,2.045182,0,same_bs
24,online_dqn,3,6,72,2,2,2,0.040984,0.172858,0.172858,0.000000,1.999997,1.460082,2.045182,0,same_bs
24,online_dqn,3,7,69,2,2,2,0.040986,0.172858,0.172858,0.000000,1.999997,1.460081,2.045184,0,same_bs
24,online_dqn,3,8,57,2,2,2,0.040986,0.172858,0.172858,0.000000,1.999997,1.460081,2.045184,0,same_bs
24,online_dqn,3,9,5,2,2,2,0.041121,0.172858,0.172858,0.000000,1.999944,1.460010,2.045333,0,same_bs
24,online_dqn,3,10,15,2,2,2,0.041124,0.172858,0.172858,0.000000,1.999943,1.460009,2.045336,0,same_bs
24,online_dqn,3,11,9,2,2,2,0.041124,0.172858,0.172858,0.000000,1.999943,1.460009,2.045336,0,same_bs
24,online_dqn,3,12,45,2,2,2,0.041795,0.172858,0.172858,0.000000,1.999683,1.459656,2.046077,0,same_bs
24,online_dqn,3,13,53,2,2,2,0.042077,0.172858,0.172858,0.000000,1.999574,1.459507,2.046387,0,same_bs
24,online_dqn,3,14,56,2,2,2,0.042077,0.172858,0.172858,0.000000,1.999574,1.459507,2.046387,0,same_bs
24,online_dqn,3,15,73,0,0,2,0.293437,0.172858,0.172858,0.170038,1.660471,1.664516,1.830509,1,
24,online_dqn,3,16,38,0,0,2,0.349443,0.172858,0.172858,0.169326,1.690210,1.656098,1.859536,1,
24,online_dqn,3,17,64,0,0,2,0.403361,0.172858,0.172858,0.457890,1.575684,1.539613,2.033574,1,
24,online_dqn,3,18,33,0,0,2,0.403361,0.172858,0.172858,0.456383,1.613708,1.517841,2.070091,1,
24,online_dqn,3,19,42,0,0,2,0.403361,0.172858,0.172858,0.429676,1.672199,1.489505,2.101875,1,
24,online_dqn,3,20,10,0,0,2,0.403361,0.172858,0.172858,0.409108,1.719804,1.459199,2.128912,1,
24,online_dqn,3,21,8,0,0,2,0.403361,0.172858,0.172858,0.396708,1.761136,1.434065,2.157844,1,
24,online_dqn,3,22,22,0,0,2,0.403361,0.172858,0.172858,0.389513,1.798853,1.412387,2.188366,1,
24,online_dqn,3,23,14,0,0,2,0.403361,0.172858,0.172858,0.378407,1.833921,1.392240,2.212328,1,
24,online_dqn,3,24,55,1,1,2,0.507400,0.172858,0.172858,0.863361,1.382996,1.399430,2.262791,1,
24,online_dqn,3,25,37,1,1,1,0.507400,0.172858,0.172858,0.000000,1.409504,1.378185,2.231549,0,same_bs
24,online_dqn,3,26,60,1,1,2,0.507400,0.172858,0.172858,0.853364,1.409504,1.378185,2.231549,1,
24,online_dqn,3,27,48,1,1,2,0.507400,0.172858,0.172858,0.843479,1.435286,1.355872,2.199351,1,
24,online_dqn,3,28,61,1,1,2,0.507400,0.172858,0.172858,0.836872,1.458842,1.328517,2.165390,1,
24,online_dqn,4,0,5,2,2,0,0.035521,0.157685,0.157685,0.631902,1.835735,1.697348,1.203833,1,
24,online_dqn,4,1,15,2,2,0,0.035521,0.157685,0.157685,0.514305,1.760203,1.670792,1.245899,1,
24,online_dqn,4,2,52,2,2,0,0.035648,0.157685,0.157685,0.403886,1.695222,1.644306,1.291336,1,
24,online_dqn,4,3,9,2,2,0,0.035653,0.157685,0.157685,0.304549,1.641405,1.617981,1.336857,1,
24,online_dqn,4,4,19,2,2,1,0.035657,0.157685,0.157685,0.209436,1.587585,1.591465,1.382028,1,
24,online_dqn,4,5,69,2,2,1,0.035657,0.157685,0.157685,0.139733,1.533717,1.562512,1.422779,1,
24,online_dqn,4,6,77,2,2,1,0.035657,0.157685,0.157685,0.070031,1.479849,1.533560,1.463529,1,
24,online_dqn,4,7,45,2,2,2,0.035659,0.157685,0.157685,0.000000,1.449399,1.490670,1.512137,0,same_bs
24,online_dqn,4,8,57,2,2,2,0.035659,0.157685,0.157685,0.000000,1.449399,1.490670,1.512137,0,same_bs
24,online_dqn,4,9,72,2,2,2,0.035659,0.157685,0.157685,0.000000,1.449399,1.490670,1.512137,0,same_bs
24,online_dqn,4,10,56,2,2,2,0.035659,0.157685,0.157685,0.000000,1.449399,1.490670,1.512137,0,same_bs
24,online_dqn,4,11,53,2,2,2,0.035659,0.157685,0.157685,0.000000,1.449399,1.490670,1.512137,0,same_bs
24,online_dqn,4,12,27,2,2,2,0.035928,0.157685,0.157685,0.000000,1.449141,1.490592,1.512362,0,same_bs
24,online_dqn,4,13,73,2,2,2,0.035929,0.157685,0.157685,0.000000,1.449140,1.490592,1.512363,0,same_bs
24,online_dqn,4,14,38,2,2,2,0.035932,0.157685,0.157685,0.000000,1.449137,1.490591,1.512365,0,same_bs
24,online_dqn,4,15,12,1,1,2,0.515021,0.157685,0.157685,1.026472,0.982911,1.270199,2.296672,1,
24,online_dqn,4,16,37,1,1,2,0.515021,0.157685,0.157685,1.003361,1.016296,1.254537,2.257898,1,
24,online_dqn,4,17,30,1,1,2,0.515021,0.157685,0.157685,0.975450,1.068812,1.241303,2.216753,1,
24,online_dqn,4,18,20,1,1,2,0.515021,0.157685,0.157685,0.947573,1.118406,1.226794,2.174367,1,
24,online_dqn,4,19,76,1,1,2,0.515021,0.157685,0.157685,0.981122,1.165440,1.176406,2.157528,1,
24,online_dqn,4,20,62,1,1,2,0.515021,0.157685,0.157685,1.003767,1.203260,1.123636,2.127403,1,
24,online_dqn,4,21,4,0,0,2,0.593853,0.157685,0.157685,0.444520,1.709922,1.429134,2.154443,1,
24,online_dqn,4,22,47,0,0,2,0.601501,0.157685,0.157685,0.445691,1.759456,1.401820,2.205147,1,
