seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,q_stop,applied,skip_reason
1002,online_dqn,10,1,0,21,2,2,0,0.092069,0.310341,0.335830,1.376451,-0.412643,-1.358384,-1.789095,0,30,22,28,94.000000,80.666700,65.666700,0.692583,0.379252,0.092110,0.025489,0.023196,0.006703,0.018786,0.317044,0.335830,0.018786,0.092069,0.692583,0.600514,10,0,10,linear_decay,10,1,2,0,0.000000,1,
1002,online_dqn,10,1,1,28,2,2,0,0.092073,0.310341,0.355605,1.568615,-0.419057,-1.161542,-1.987672,0,31,22,27,94.000000,80.666700,65.666700,0.670940,0.379252,0.095521,0.045264,0.042839,0.025489,0.019775,0.335830,0.355605,0.019775,0.092073,0.670940,0.578867,10,1,9,linear_decay,10,1,2,0,0.000000,1,
1002,online_dqn,10,1,2,67,2,2,0,0.092075,0.310341,0.376310,1.744541,-0.443539,-0.956797,-2.188080,0,32,22,26,94.000000,80.666700,65.666700,0.650609,0.379252,0.099195,0.065969,0.063417,0.045264,0.020705,0.355605,0.376310,0.020705,0.092075,0.650609,0.558534,10,2,8,linear_decay,10,1,2,0,0.000000,1,
1002,online_dqn,10,1,3,64,2,2,0,0.092075,0.310341,0.397849,1.919266,-0.468498,-0.752048,-2.387764,0,33,22,25,94.000000,80.666700,65.666700,0.631473,0.379252,0.103162,0.087509,0.084839,0.065969,0.021539,0.376310,0.397849,0.021539,0.092075,0.631473,0.539398,10,3,7,linear_decay,10,1,2,0,0.000000,1,
1002,online_dqn,10,1,4,54,2,2,0,0.092076,0.310341,0.420079,2.080863,-0.491591,-0.572925,-2.572454,0,34,22,24,94.000000,80.666700,65.666700,0.613431,0.379252,0.107461,0.109739,0.106966,0.087509,0.022230,0.397849,0.420079,0.022230,0.092076,0.613431,0.521355,10,4,6,linear_decay,10,1,2,0,0.000000,1,
1002,online_dqn,10,1,5,73,2,2,0,0.092076,0.310341,0.442801,2.178442,-0.498810,-0.536786,-2.677253,0,35,22,23,94.000000,80.666700,65.666700,0.596391,0.379252,0.112133,0.132460,0.129606,0.109739,0.022722,0.420079,0.442801,0.022722,0.092076,0.596391,0.504315,10,5,5,linear_decay,10,1,2,0,0.000000,1,
1002,online_dqn,10,1,6,53,2,2,1,0.092077,0.310341,0.462847,2.279830,-0.506258,-0.500924,-2.780754,0,36,22,22,94.000000,80.666700,65.666700,0.580273,0.379252,0.117230,0.155414,0.152506,0.132460,0.020045,0.442801,0.462847,0.020045,0.092077,0.379252,0.287175,10,6,4,linear_decay,10,1,2,0,0.000000,1,
1002,online_dqn,10,1,7,34,2,2,0,0.092078,0.310341,0.485687,2.554334,-0.324906,-0.738982,-2.879240,0,36,23,21,94.000000,80.666700,65.666700,0.580273,0.363450,0.122812,0.175346,0.171519,0.152506,0.022840,0.462847,0.485687,0.022840,0.092078,0.580273,0.488194,10,7,3,linear_decay,10,1,2,0,0.000000,1,
1002,online_dqn,10,1,8,58,2,2,0,0.092078,0.310341,0.508079,2.645350,-0.334498,-0.703521,-2.979848,0,37,23,20,94.000000,80.666700,65.666700,0.565002,0.363450,0.128953,0.197739,0.193848,0.175346,0.022393,0.485687,0.508079,0.022393,0.092078,0.565002,0.472924,10,8,2,linear_decay,10,1,2,0,0.000000,1,
1002,online_dqn,10,1,9,29,2,2,0,0.092080,0.310341,0.529574,2.580503,-0.398025,-0.699629,-2.978528,0,38,23,19,94.000000,80.666700,65.666700,0.550515,0.363450,0.135740,0.219234,0.215329,0.197739,0.021495,0.508079,0.529574,0.021495,0.092080,0.550515,0.458435,10,9,1,linear_decay,10,1,2,0,0.000000,1,
1002,online_dqn,10,2,0,76,2,2,0,0.094801,0.435822,0.467127,1.413237,-0.190661,-0.782015,-1.603897,0,39,23,18,96.000000,83.833300,54.333300,0.348347,0.349114,0.094943,0.031305,0.031841,0.009843,0.021462,0.445664,0.467127,0.021462,0.094801,0.348347,0.253546,8,0,8,linear_decay,10,1,2,0,0.000000,1,
