seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,target_satisfaction_before,target_satisfaction_after_estimated,target_satisfaction_delta_estimated,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,q_stop,applied,skip_reason
1007,online_dqn,20,1,0,25,0,0,2,0.045348,0.407261,0.447993,6.315360,-4.079946,-7.095909,2.235415,0,32,31,17,99.833300,86.166700,63.166700,0.480009,0.204326,0.366519,0.041020,0.031507,0.040733,-0.000287,0.448280,0.447993,-0.000287,0.045348,0.366519,0.321171,20,0,20,fixed,20,1,1,0,0.000000,0,safety_h_delta
1007,online_dqn,20,1,1,5,1,1,2,0.210792,0.407261,0.457113,3.089526,-2.429931,-3.373362,-0.283835,0,32,31,17,99.833300,86.166700,63.166700,0.440670,0.210927,0.366519,0.049496,0.041020,0.049853,0.008833,0.448280,0.457113,0.008833,0.210792,0.366519,0.155727,20,0,20,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,2,40,1,1,2,0.210919,0.407261,0.464653,3.020836,-2.465527,-3.259094,-0.238258,0,32,30,18,99.833300,86.166700,63.166700,0.440670,0.217948,0.347228,0.057841,0.049853,0.057392,0.007539,0.457113,0.464653,0.007539,0.210919,0.347228,0.136310,20,1,19,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,3,13,1,1,2,0.210920,0.407261,0.470752,2.992562,-2.535467,-3.159381,-0.166820,0,32,29,19,99.833300,86.166700,63.166700,0.440670,0.225463,0.329867,0.064795,0.057392,0.063491,0.006099,0.464653,0.470752,0.006099,0.210920,0.329867,0.118947,20,2,18,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,4,38,1,1,2,0.210923,0.407261,0.475287,2.970017,-2.612386,-3.060711,-0.090693,0,32,28,20,99.833300,86.166700,63.166700,0.440670,0.233515,0.314159,0.070218,0.063491,0.068026,0.004535,0.470752,0.475287,0.004535,0.210923,0.314159,0.103236,20,3,17,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,5,67,1,1,2,0.210924,0.407261,0.478164,2.945896,-2.690089,-2.960625,-0.014729,0,32,27,21,99.833300,86.166700,63.166700,0.440670,0.242164,0.299879,0.073998,0.068026,0.070903,0.002877,0.475287,0.478164,0.002877,0.210924,0.299879,0.088955,20,4,16,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,6,71,1,1,2,0.210926,0.407261,0.479320,2.881555,-2.761644,-2.842958,0.038596,0,32,26,22,99.833300,86.166700,63.166700,0.440670,0.251478,0.286841,0.076052,0.070903,0.072059,0.001156,0.478164,0.479320,0.001156,0.210926,0.286841,0.075915,20,5,15,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,7,56,1,1,2,0.210926,0.407261,0.478730,2.778321,-2.827252,-2.708298,0.070024,0,32,25,23,99.833300,86.166700,63.166700,0.440670,0.261537,0.274889,0.076338,0.072059,0.071470,-0.000589,0.479320,0.478730,-0.000589,0.210926,0.274889,0.063963,20,6,14,fixed,20,1,1,0,0.000000,0,safety_h_delta
1007,online_dqn,20,1,8,78,1,1,2,0.210927,0.407261,0.478730,2.778312,-2.827250,-2.708293,0.070019,0,32,25,23,99.833300,86.166700,63.166700,0.440670,0.261537,0.274889,0.076338,0.072059,0.071470,-0.000589,0.479320,0.478730,-0.000589,0.210927,0.274889,0.063962,20,6,14,fixed,20,1,1,0,0.000000,0,safety_h_delta
1007,online_dqn,20,1,9,70,1,1,2,0.210927,0.407261,0.478730,2.778312,-2.827250,-2.708293,0.070019,0,32,25,23,99.833300,86.166700,63.166700,0.440670,0.261537,0.274889,0.076338,0.072059,0.071470,-0.000589,0.479320,0.478730,-0.000589,0.210927,0.274889,0.063962,20,6,14,fixed,20,1,1,0,0.000000,0,safety_h_delta
1007,online_dqn,20,1,10,45,1,1,2,0.210930,0.407261,0.478730,2.778295,-2.827246,-2.708284,0.070011,0,32,25,23,99.833300,86.166700,63.166700,0.440670,0.261536,0.274889,0.076338,0.072059,0.071470,-0.000589,0.479320,0.478730,-0.000589,0.210930,0.274889,0.063959,20,6,14,fixed,20,1,1,0,0.000000,0,safety_h_delta
1007,online_dqn,20,1,11,49,1,1,2,0.210930,0.407261,0.478730,2.778291,-2.827245,-2.708282,0.070009,0,32,25,23,99.833300,86.166700,63.166700,0.440670,0.261536,0.274889,0.076338,0.072059,0.071470,-0.000589,0.479320,0.478730,-0.000589,0.210930,0.274889,0.063959,20,6,14,fixed,20,1,1,0,0.000000,0,safety_h_delta
1007,online_dqn,20,1,12,24,1,1,2,0.210930,0.407261,0.478730,2.778291,-2.827245,-2.708282,0.070009,0,32,25,23,99.833300,86.166700,63.166700,0.440670,0.261536,0.274889,0.076338,0.072059,0.071470,-0.000589,0.479320,0.478730,-0.000589,0.210930,0.274889,0.063959,20,6,14,fixed,20,1,1,0,0.000000,0,safety_h_delta
1007,online_dqn,20,1,13,27,1,1,2,0.210933,0.407261,0.478730,2.778273,-2.827242,-2.708273,0.070000,0,32,25,23,99.833300,86.166700,63.166700,0.440670,0.261536,0.274889,0.076338,0.072059,0.071470,-0.000589,0.479320,0.478730,-0.000589,0.210933,0.274889,0.063956,20,6,14,fixed,20,1,1,0,0.000000,0,safety_h_delta
1007,online_dqn,20,1,14,34,1,1,2,0.210935,0.407261,0.478730,2.778262,-2.827240,-2.708266,0.069996,0,32,25,23,99.833300,86.166700,63.166700,0.440670,0.261536,0.274889,0.076338,0.072059,0.071470,-0.000589,0.479320,0.478730,-0.000589,0.210935,0.274889,0.063954,20,6,14,fixed,20,1,1,0,0.000000,0,safety_h_delta
1007,online_dqn,20,1,15,36,2,2,0,0.387984,0.407261,0.483312,1.961971,-0.200340,-1.273936,-2.162311,0,32,25,23,99.833300,86.166700,63.166700,0.440670,0.251479,0.286864,0.076052,0.070902,0.072059,0.003992,0.479320,0.483312,0.003992,0.387984,0.440670,0.052686,20,6,14,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,16,41,2,2,0,0.388104,0.407261,0.486068,2.133577,-0.152817,-1.225712,-2.286394,0,33,25,22,99.833300,86.166700,63.166700,0.427709,0.251479,0.299872,0.078807,0.073997,0.076052,0.002756,0.483312,0.486068,0.002756,0.388104,0.427709,0.039605,20,7,13,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,17,23,2,2,0,0.388108,0.407261,0.487542,2.331640,-0.094359,-1.166180,-2.426000,0,34,25,21,99.833300,86.166700,63.166700,0.415489,0.251479,0.314151,0.080281,0.075843,0.078807,0.001474,0.486068,0.487542,0.001474,0.388108,0.415489,0.027381,20,8,12,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,18,47,2,2,0,0.388119,0.407261,0.487712,2.520729,-0.044958,-1.108305,-2.565687,0,35,25,20,99.833300,86.166700,63.166700,0.403948,0.251479,0.329856,0.080451,0.076411,0.080281,0.000169,0.487542,0.487712,0.000169,0.388119,0.403948,0.015828,20,9,11,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,19,2,0,0,2,0.400668,0.407261,0.492166,9.573583,-6.229983,-6.588322,3.343600,0,36,25,19,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.080451,0.082066,0.084905,0.004454,0.487712,0.492166,0.004454,0.400668,0.633245,0.232577,20,10,10,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,20,43,0,0,2,0.400668,0.407261,0.496702,9.613764,-6.162826,-6.680411,3.450938,0,35,25,20,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.084905,0.086550,0.089441,0.004536,0.492166,0.496702,0.004536,0.400668,0.633245,0.232577,20,11,9,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,21,46,0,0,2,0.400668,0.407261,0.501322,9.645182,-6.097377,-6.759070,3.547805,0,34,25,21,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.089441,0.091116,0.094062,0.004621,0.496702,0.501322,0.004621,0.400668,0.633245,0.232577,20,12,8,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,22,22,0,0,2,0.400668,0.407261,0.506030,9.671739,-6.028634,-6.837071,3.643105,0,33,25,22,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.094062,0.095768,0.098769,0.004707,0.501322,0.506030,0.004707,0.400668,0.633245,0.232577,20,13,7,fixed,20,1,1,0,0.000000,1,
1007,online_dqn,20,1,23,1,0,0,2,0.400668,0.407261,0.510826,9.636568,-5.920355,-6.913430,3.716213,0,32,25,23,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.098769,0.100508,0.103565,0.004797,0.506030,0.510826,0.004797,0.400668,0.633245,0.232577,20,14,6,fixed,20,1,1,0,0.000000,1,
