seed,method,max_switches,cycle_id,step_id,target_ue_id,previous_bs_id,current_bs_id,selected_bs_id,satisfaction_before,harmonic_mean_before,harmonic_mean_after_estimated,advantage,q_bs0,q_bs1,q_bs2,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,selected_estimated_h_delta,h_before_step_estimated,h_after_step_estimated,estimated_marginal_delta,applied,skip_reason
1005,online_dqn,3,1,0,9,2,2,1,0.008196,0.234593,0.356805,6.296681,-2.799042,-0.960717,-7.257397,0,28,26,26,99.833300,86.166700,111.667000,0.666964,0.328526,0.099848,0.125427,0.122212,0.106875,0.122212,0.341468,0.356805,0.015337,1,
1005,online_dqn,3,1,1,17,2,2,1,0.074452,0.234593,0.373131,6.242534,-2.863957,-0.978127,-7.220661,0,28,27,25,99.833300,86.166700,111.667000,0.666964,0.316793,0.096186,0.142456,0.138538,0.122212,0.138538,0.356805,0.373131,0.016326,1,
1005,online_dqn,3,1,2,35,2,2,1,0.074594,0.234593,0.389016,6.190507,-2.925561,-0.991476,-7.181983,0,28,28,24,99.833300,86.166700,111.667000,0.666964,0.305869,0.100177,0.159120,0.154423,0.138538,0.154423,0.373131,0.389016,0.015885,1,
1005,online_dqn,3,2,0,77,2,2,0,0.065434,0.345718,0.374549,5.752808,-0.869984,-1.410089,-6.622792,0,28,29,23,99.166700,84.833300,55.666700,0.696204,0.270058,0.065574,0.028831,0.023283,0.000577,0.028831,0.346295,0.374549,0.028254,1,
1005,online_dqn,3,2,1,13,2,2,0,0.065435,0.345718,0.404882,5.678652,-0.889247,-1.446480,-6.567899,0,29,29,22,99.166700,84.833300,55.666700,0.672997,0.270058,0.068554,0.059164,0.052885,0.028831,0.059164,0.374549,0.404882,0.030333,1,
1005,online_dqn,3,2,2,68,2,2,0,0.065437,0.345718,0.437130,5.605169,-0.907503,-1.482240,-6.512672,0,30,29,21,99.166700,84.833300,55.666700,0.651288,0.270058,0.071819,0.091412,0.084331,0.059164,0.091412,0.404882,0.437130,0.032248,1,
1005,online_dqn,3,3,0,27,2,2,0,0.068028,0.379538,0.407318,8.114854,-1.172062,-3.107056,-9.286916,0,31,29,20,177.333000,83.666700,54.000000,0.564332,0.260717,0.069260,0.027780,0.021985,0.000185,0.027780,0.379723,0.407318,0.027595,1,
1005,online_dqn,3,3,1,5,2,2,0,0.068845,0.379538,0.435642,8.052930,-1.197647,-3.157868,-9.250577,0,32,29,19,177.333000,83.666700,54.000000,0.547231,0.260717,0.072619,0.056104,0.049737,0.027780,0.056104,0.407318,0.435642,0.028324,1,
1005,online_dqn,3,3,2,74,2,2,0,0.069400,0.379538,0.464052,7.996239,-1.218522,-3.195779,-9.214761,0,33,29,18,177.333000,83.666700,54.000000,0.531136,0.260717,0.076448,0.084514,0.077586,0.056104,0.084514,0.435642,0.464052,0.028410,1,
1005,online_dqn,3,4,0,66,2,2,0,0.073085,0.499282,0.541189,5.309329,-0.875577,-1.770070,-6.184906,0,34,29,17,100.667000,83.000000,54.666700,0.470161,0.256359,0.378383,0.041908,0.033548,0.042891,0.041908,0.542173,0.541189,-0.000983,1,
1005,online_dqn,3,4,1,64,0,0,1,0.246591,0.499282,0.532612,0.885588,-1.889761,-1.004173,-5.848252,0,35,29,16,100.667000,83.000000,54.666700,0.484575,0.256359,0.073085,0.041908,0.033330,0.004954,0.033330,0.541189,0.532612,-0.008578,1,
1005,online_dqn,3,4,2,60,1,1,1,0.262565,0.499282,0.499282,0.000000,-1.409492,-1.290364,-6.027066,0,34,30,16,100.667000,83.000000,54.666700,0.470161,0.256591,0.073085,0.041664,0.033330,0.004944,0.000000,0.532612,0.532612,0.000000,0,same_bs
1005,online_dqn,3,4,3,78,1,1,1,0.262712,0.499282,0.499282,0.000000,-1.409478,-1.290375,-6.027074,0,34,30,16,100.667000,83.000000,54.666700,0.470161,0.256578,0.073085,0.041664,0.033330,0.004944,0.000000,0.532612,0.532612,0.000000,0,same_bs
1005,online_dqn,3,4,4,6,1,1,1,0.262977,0.499282,0.499282,0.000000,-1.409454,-1.290395,-6.027091,0,34,30,16,100.667000,83.000000,54.666700,0.470161,0.256554,0.073085,0.041666,0.033330,0.004945,0.000000,0.532612,0.532612,0.000000,0,same_bs
1005,online_dqn,3,4,5,22,1,1,1,0.263125,0.499282,0.499282,0.000000,-1.409439,-1.290405,-6.027099,0,34,30,16,100.667000,83.000000,54.666700,0.470161,0.256542,0.073085,0.041666,0.033330,0.004946,0.000000,0.532612,0.532612,0.000000,0,same_bs
1005,online_dqn,3,4,6,1,1,1,0,0.263256,0.499282,0.540949,-0.119013,-1.409428,-1.290415,-6.027107,0,34,30,16,100.667000,83.000000,54.666700,0.470161,0.256530,0.073085,0.041667,0.033330,0.004946,0.041667,0.532612,0.540949,0.008337,1,
