seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,warmup_before_cycle_sec,cycle_start_offset_sec
1010,random,8,1,1,2,2,2,1.058998,67.666700,0.132375,30,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.349093,0.132124,0.015858,0.012116,0.000078,0.015858,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,2,2,2,2,1.034881,67.666700,0.129360,30,0.376004,39,1,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.349093,0.132375,0.015832,0.012090,0.000078,0.015832,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,3,1,1,2,2.904925,85.333300,0.363116,25,0.376004,39,0,1,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.363050,0.127880,0.003194,0.000078,-0.012436,0.003194,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,4,1,1,2,2.904842,85.333300,0.363105,25,0.376004,39,0,2,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.363051,0.127880,0.003194,0.000078,-0.012436,0.003194,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,5,2,2,3,0.000000,67.666700,1.477832,30,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,1,25,25,30,100.333000,85.333300,67.666700,0.996681,1.171875,1.477832,0.004267,0.003592,0.000078,0.004267,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,6,2,2,4,0.000000,67.666700,0.591133,30,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.003384,0.003116,0.000078,0.003384,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,7,2,2,4,0.000000,67.666700,0.591133,30,0.376004,39,0,2,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.003384,0.003116,0.000078,0.003384,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,8,1,1,4,0.000000,85.333300,0.468750,25,0.376004,39,0,1,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.000342,0.000078,-0.002911,0.000342,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,9,1,1,4,0.000000,85.333300,0.468750,25,0.376004,39,0,1,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.000342,0.000078,-0.002911,0.000342,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,10,1,1,2,2.904817,85.333300,0.363102,25,0.376004,39,0,2,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.363051,0.127880,0.003194,0.000078,-0.012436,0.003194,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,11,0,0,2,5.696050,100.333000,0.712006,25,0.376004,39,0,2,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.734519,0.349093,0.127880,0.000078,-0.003567,-0.015485,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,12,2,2,2,1.058939,67.666700,0.132367,30,0.376004,39,0,1,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.349093,0.132124,0.015858,0.012116,0.000078,0.015858,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,13,0,0,4,0.000000,100.333000,0.398672,25,0.376004,39,0,0,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.000078,-0.000185,-0.003171,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,14,0,0,2,5.696086,100.333000,0.712011,25,0.376004,39,0,2,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.734518,0.349093,0.127880,0.000078,-0.003567,-0.015485,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,15,0,0,2,5.697179,100.333000,0.712147,25,0.376004,39,0,0,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.734503,0.349093,0.127880,0.000078,-0.003567,-0.015485,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,16,0,0,4,0.000000,100.333000,0.398672,25,0.376004,39,0,2,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.000078,-0.000185,-0.003171,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,17,1,1,4,0.000000,85.333300,0.468750,25,0.376004,39,0,1,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.000342,0.000078,-0.002911,0.000342,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,18,2,2,4,0.000000,67.666700,0.591133,30,0.376004,39,0,1,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.003384,0.003116,0.000078,0.003384,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,19,0,0,4,0.000000,100.333000,0.398672,25,0.376004,39,0,2,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.000078,-0.000185,-0.003171,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,20,1,1,2,2.903774,85.333300,0.362972,25,0.376004,39,0,1,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.363066,0.127880,0.003194,0.000078,-0.012436,0.003194,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,21,2,2,4,0.000000,67.666700,0.591133,30,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.003384,0.003116,0.000078,0.003384,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,22,0,0,3,0.000000,100.333000,0.996681,25,0.376004,39,0,2,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.996681,1.171875,1.477832,0.000078,-0.000582,-0.004020,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,23,0,0,1,3.522119,100.333000,1.174040,25,0.376004,39,0,0,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,1.168683,1.095934,0.873462,0.000078,-0.001006,-0.005141,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,24,1,1,2,2.904913,85.333300,0.363114,25,0.376004,39,0,1,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.363050,0.127880,0.003194,0.000078,-0.012436,0.003194,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,25,0,0,2,5.698248,100.333000,0.712281,25,0.376004,39,0,2,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.734488,0.349093,0.127880,0.000078,-0.003567,-0.015485,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,26,2,2,3,0.000000,67.666700,1.477832,30,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,1,25,25,30,100.333000,85.333300,67.666700,0.996681,1.171875,1.477832,0.004267,0.003592,0.000078,0.004267,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,27,1,1,4,0.000000,85.333300,0.468750,25,0.376004,39,0,1,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.000342,0.000078,-0.002911,0.000342,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,28,0,0,4,0.000000,100.333000,0.398672,25,0.376004,39,0,2,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.000078,-0.000185,-0.003171,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,29,0,0,2,5.697155,100.333000,0.712144,25,0.376004,39,0,2,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.734504,0.349093,0.127880,0.000078,-0.003567,-0.015485,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,30,2,2,3,0.000000,67.666700,1.477832,30,0.376004,39,0,2,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,1,25,25,30,100.333000,85.333300,67.666700,0.996681,1.171875,1.477832,0.004267,0.003592,0.000078,0.004267,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,31,2,2,2,1.058904,67.666700,0.132363,30,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.349093,0.132125,0.015858,0.012116,0.000078,0.015858,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,32,0,0,4,0.000000,100.333000,0.398672,25,0.376004,39,0,0,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.000078,-0.000185,-0.003171,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,33,2,2,1,2.639094,67.666700,0.879698,30,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,1.125022,1.095934,0.925457,0.005141,0.004149,0.000078,0.005141,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,34,2,2,4,0.000000,67.666700,0.591133,30,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.003384,0.003116,0.000078,0.003384,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,35,2,2,4,0.000000,67.666700,0.591133,30,0.376004,39,0,1,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.003384,0.003116,0.000078,0.003384,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,36,2,2,4,0.000000,67.666700,0.591133,30,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.003384,0.003116,0.000078,0.003384,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,37,2,2,2,1.058929,67.666700,0.132366,30,0.376004,39,0,1,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.349093,0.132124,0.015858,0.012116,0.000078,0.015858,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,38,2,2,2,1.059010,67.666700,0.132376,30,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.349093,0.132123,0.015858,0.012116,0.000078,0.015858,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,39,2,2,4,0.000000,67.666700,0.591133,30,0.376004,39,0,2,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.398672,0.468750,0.591133,0.003384,0.003116,0.000078,0.003384,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,40,0,0,2,5.696038,100.333000,0.712005,25,0.376004,39,0,2,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.734519,0.349093,0.127880,0.000078,-0.003567,-0.015485,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,41,1,1,1,3.506744,85.333300,1.168915,25,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,1.125022,1.125200,0.873462,0.000943,0.000078,-0.004183,0.000943,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,42,2,2,2,1.058976,67.666700,0.132372,30,0.376004,39,0,2,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.349093,0.132124,0.015858,0.012116,0.000078,0.015858,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,43,2,2,2,1.059045,67.666700,0.132381,30,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.349093,0.132123,0.015859,0.012116,0.000078,0.015859,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,44,1,1,3,0.000000,85.333300,1.171875,25,0.376004,39,0,1,0,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.996681,1.171875,1.477832,0.000741,0.000078,-0.003372,0.000741,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,45,1,1,2,2.902644,85.333300,0.362831,25,0.376004,39,0,0,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,0,25,25,30,100.333000,85.333300,67.666700,0.704104,0.363082,0.127880,0.003194,0.000078,-0.012436,0.003194,8,53,0,fixed,8,8,0,0,3.000000,4.000000
1010,random,8,1,46,0,0,3,0.000000,100.333000,0.996681,25,0.376004,39,0,1,1,0.376004,0.376004,0.000000,0.000000,0.376004,0.000000,53,0,1,-1,25,25,30,100.333000,85.333300,67.666700,0.996681,1.171875,1.477832,0.000078,-0.000582,-0.004020,0.000000,8,53,0,fixed,8,8,0,0,3.000000,4.000000
