1 2 3 -0.317222 -34.2554
2 1 3 -46.7756 -32.4104
3 4 3 -18.4673 81.4958
4 4 3 -25.6169 -57.9852
5 1 3 -84.6945 51.7566
6 1 3 78.2041 -85.1812
7 1 3 -28.1197 -96.0005
8 4 3 61.9923 -31.4586
9 4 3 -17.6773 86.2116
10 1 3 -39.1886 -34.8433
11 3 3 -88.1489 -41.413
12 1 3 -59.5906 13.0888
13 2 3 -36.3414 29.7577
14 2 3 -14.2242 -95.2595
15 1 3 -73.83 62.635
16 1 3 65.6723 49.7672
17 2 3 -25.8534 32.6014
18 1 3 53.8556 -4.07962
19 1 3 48.961 83.6568
20 4 3 -90.6499 31.132
21 3 3 -49.1239 -8.36705
22 2 3 11.7096 61.9162
23 2 3 -72.8965 -94.3959
24 1 3 43.0897 36.3754
25 4 3 56.9157 -43.1444
26 4 3 16.5422 -10.673
27 3 3 -12.5074 -22.3145
28 4 3 29.6487 91.0757
29 3 3 -45.6857 -27.5165
30 4 3 -44.2726 -14.5984
31 2 3 -99.6761 56.3799
32 2 3 -17.855 21.4043
33 3 3 36.1044 3.69284
34 1 2 -24.6593 95.6831
35 3 3 -23.0745 45.9735
36 1 2 -92.4551 -64.9818
37 3 3 -27.4679 -85.2749
38 4 2 93.7886 33.7757
39 4 2 85.287 -83.7525
40 2 2 -9.36721 -85.5734
41 1 2 98.9821 -70.2373
42 1 2 79.7278 69.3499
43 1 2 -79.5408 -89.0329
44 4 2 37.579 -40.0321
45 1 2 -96.9401 23.1027
46 1 2 67.2974 -60.5705
47 4 2 -78.0242 -17.9746
48 1 2 49.4162 -14.1619
49 2 2 78.4514 -20.5457
50 3 3 -41.8807 19.9725
51 1 2 37.8944 80.4126
52 2 2 -6.11936 27.8145
53 1 2 35.193 53.3479
54 3 3 -75.9245 39.5315
55 3 3 -3.56375 35.7549
56 2 2 95.764 -16.8641
57 4 2 71.9316 33.175
58 1 2 48.599 -43.2111
59 4 2 3.7016 75.4887
60 2 2 -58.5051 52.7217
61 3 3 -78.589 -70.113
62 4 2 -22.4242 99.9092
63 3 3 -42.586 66.3917
64 1 2 -81.8668 27.9591
65 2 2 92.6293 69.328
66 1 2 33.1595 12.6423
67 2 2 48.4757 43.7355
68 4 2 62.9157 -85.2621
69 1 2 86.3785 17.1137
70 2 2 -76.8091 65.4198
71 2 2 -76.1835 70.8063
72 3 2 28.9943 -47.769
73 4 2 -43.8874 26.0946
74 3 2 57.2896 -40.1711
75 1 2 90.5127 -38.1884
76 1 2 82.1395 -25.0279
77 2 2 -21.546 -77.0847
78 1 2 -7.89308 71.7131
79 3 2 9.0557 87.5916
80 4 2 88.7259 97.0755
81 2 1 7.40671 53.6339
82 4 1 -46.7435 -14.1736
83 1 1 -27.3726 -51.7544
84 4 1 -60.7138 34.6275
85 2 1 -23.818 -52.3745
86 1 1 -35.9399 -88.4438
87 4 1 81.7124 -1.25929
88 1 1 -31.0822 11.6645
89 2 1 62.2051 22.3975
90 2 1 -40.2153 -46.1341
91 3 1 -12.4651 -15.8935
92 1 1 -48.5967 27.6816
93 3 1 2.11557 -38.0593
94 4 1 -18.8028 4.63167
95 4 1 -1.87328 50.6412
96 1 1 -42.1727 99.9275
97 1 1 -67.0907 70.0551
98 3 1 -66.2764 19.6721
99 2 1 45.1404 -28.5288
100 4 1 -70.5305 -47.4038
101 2 1 -16.8625 -8.57919
102 2 1 -55.1971 96.8889
103 2 1 -0.650837 -84.6482
104 2 1 -54.2905 -53.8226
105 4 1 -48.4281 50.82
106 2 1 -81.1514 -39.3388
107 4 1 5.04314 -42.4451
108 4 1 61.7671 -49.2485
109 1 1 -0.231284 99.3986
110 2 1 30.2322 -47.0103
111 4 1 97.6056 -15.5561
112 1 1 -2.40904 -22.532
113 2 1 27.0921 88.6253
114 1 1 -8.22672 23.9652
115 1 1 13.6314 24.9279
116 2 1 -65.2347 -33.8406
117 4 1 12.1093 57.9301
118 1 1 28.4208 83.6882
119 3 1 -30.2701 -7.83461
120 2 1 23.5699 93.6221
121 1 1 16.7354 -65.4855
122 2 1 47.85 16.9674
123 4 1 -63.034 30.4741
124 3 1 -62.4463 -13.7263
125 2 1 -13.8312 -20.8102
126 2 1 30.2803 -64.8758
127 4 1 -90.7534 -83.779
128 1 1 62.0196 16.1839
129 3 1 -68.9794 -10.9304
130 2 1 -47.6112 95.4923
131 2 1 -63.116 14.8463
132 1 1 -70.5448 -73.0128
133 1 1 -1.86984 -89.1609
134 2 1 37.6815 1.26626
135 2 1 76.1855 57.2478
136 1 1 -78.7129 37.5683
137 3 1 -24.0815 20.0926
138 4 1 -30.6891 -79.4262
139 2 1 60.5224 44.0797
