1 2 3 20.3416 -71.7538
2 4 3 -95.967 78.957
3 1 3 52.8038 -24.5889
4 2 2 29.0465 -5.42748
5 2 2 94.0755 -51.1187
6 1 2 77.639 -18.6274
7 2 2 -49.4241 48.3956
8 3 3 -80.6976 -32.7915
9 4 2 -12.4303 -90.2219
10 4 2 93.5877 85.5446
11 1 2 14.4649 -91.7707
12 2 2 56.3831 -38.1617
13 1 2 56.4146 -8.22944
14 3 3 -64.098 0.220967
15 1 2 55.5341 -40.2015
16 2 2 -21.5823 -49.2168
17 1 2 73.5711 3.98165
18 3 3 69.1246 -83.5123
19 1 2 52.8793 30.3266
20 1 2 -81.1608 -91.1568
21 3 3 11.284 28.151
22 1 2 -44.1069 80.8403
23 1 2 72.3479 46.4206
24 4 2 -24.369 71.5889
25 1 2 63.4644 24.6009
26 2 2 88.1729 -23.8149
27 3 3 -56.207 77.8032
28 3 3 -71.9906 -27.0095
29 3 3 63.8274 -89.8287
30 4 2 97.7665 -30.6607
31 4 2 87.1663 -46.7863
32 4 1 60.2956 -84.6188
33 3 3 -14.5198 -15.292
34 4 1 35.6041 12.4637
35 3 3 64.3755 38.9914
36 1 1 -78.36 -95.7542
37 3 3 79.4012 -37.9154
38 3 3 64.9038 -66.5721
39 2 1 -14.868 75.1851
40 3 3 80.2147 25.1169
41 1 1 48.6713 15.4484
42 1 1 40.9867 -81.4409
43 2 1 26.4157 91.2862
44 3 3 52.4202 -79.1636
45 4 1 55.6744 -98.3515
46 4 1 -79.538 91.7184
47 2 1 69.4244 -95.3442
48 3 3 99.9366 11.6469
49 3 3 16.5927 99.6423
50 2 1 6.56048 4.41524
51 2 1 56.9794 92.9358
52 3 3 50.7897 -44.5124
53 2 1 -41.9033 21.4394
54 4 1 -48.7185 -9.62454
55 3 3 -87.006 -82.3936
56 1 1 6.78524 32.3589
57 1 1 -77.8225 -77.3947
58 1 1 27.9773 56.9336
59 3 3 13.2662 -18.8254
60 2 1 19.967 39.9945
61 1 1 -73.1566 -44.3869
62 1 1 10.6983 -44.7843
63 2 1 70.7651 -64.9569
64 1 1 28.8743 38.1831
