1 2 3 -47.6095 53.6526
2 4 3 -20.6684 -94.697
3 3 3 -74.5319 59.8326
4 4 3 11.1229 -55.902
5 3 3 -82.3494 41.6768
6 2 3 -6.29736 71.9871
7 3 3 -17.0687 -36.3593
8 2 3 72.8908 14.8974
9 4 3 76.1069 -64.5424
10 4 3 19.6256 -46.9334
11 4 2 -22.2362 -9.56519
12 2 2 -9.75722 -8.63075
13 3 3 19.9679 78.556
14 4 2 49.2226 33.5186
15 2 2 -40.0917 -42.403
16 2 2 -32.9213 -45.4092
17 1 2 65.2245 83.9577
18 4 2 -30.3378 -74.357
19 1 2 -79.9869 -43.8141
20 2 2 -83.3163 -16.3526
21 3 3 63.6362 92.2816
22 3 3 12.5309 -31.3635
23 1 2 80.4472 -36.7282
24 1 2 -28.5101 50.0158
25 4 2 -37.6875 -80.6726
26 2 2 -60.2437 72.5774
27 4 2 -35.6397 -66.2448
28 4 2 -98.0648 -0.869096
29 4 2 2.56957 57.0687
30 3 3 -43.1957 -39.8859
31 2 2 -13.9376 91.9134
32 3 3 -58.1616 15.8007
33 1 2 72.2251 -41.2212
34 3 3 30.8087 -39.2925
35 3 3 -47.5857 54.7782
36 3 3 -40.2804 -38.9047
37 4 2 -43.5677 -88.6676
38 1 2 -20.3698 26.5024
39 2 2 -63.4235 53.3619
40 1 2 -69.686 -80.7092
41 2 2 66.6273 -48.5967
42 1 2 29.1051 60.4439
43 1 2 84.6118 -14.9791
44 1 2 46.2367 11.889
45 1 1 -79.3734 -66.994
46 2 1 -24.6336 73.6496
47 2 1 61.2843 -74.266
48 2 1 80.9915 -1.05897
49 3 3 39.8402 -29.3727
50 2 1 -58.251 -3.82153
51 3 3 70.3997 50.5874
52 2 1 -54.409 20.9159
53 4 1 4.18531 -92.8356
54 3 3 -76.64 97.5677
55 1 1 44.0692 -48.7283
56 2 1 21.8164 8.25509
57 1 1 -85.504 -30.4148
58 4 1 73.8249 -20.6246
59 1 1 93.9862 -81.2694
60 2 1 -89.17 -25.4686
61 1 1 81.4534 -81.7096
62 2 1 6.20612 15.9056
63 2 1 -91.7935 41.6313
64 3 3 22.5444 27.4823
65 1 1 -20.2838 47.243
66 2 1 -11.0237 29.0911
67 1 1 73.0862 -40.302
68 1 1 42.6741 79.7857
69 2 1 -91.927 -84.8955
70 4 1 -71.292 65.1728
71 3 3 -12.0356 72.8419
72 1 1 28.7282 91.8489
73 2 1 -11.2117 -42.7418
74 3 3 62.7024 23.5605
75 4 1 47.5158 -68.5601
76 2 1 -67.4694 -32.5206
77 3 3 -95.758 -31.8644
78 3 3 -43.0025 24.802
79 1 1 18.0658 93.7516
80 2 1 26.9253 33.6194
81 4 1 97.0053 92.4531
