1 2 3
2 4 3
3 3 3
4 3 1
5 3 1
6 2 1
7 1 1
8 3 1
9 2 1
10 2 1
11 4 1
12 3 1
13 3 1
14 4 1
15 3 1
16 1 1
17 1 1
18 1 1
19 2 1
20 3 1
21 1 1
22 3 1
23 1 1
24 3 1
25 2 1
26 4 1
27 4 1
28 1 1
29 2 1
30 2 1
31 3 1
32 1 2
33 2 2
34 2 2
35 1 2
36 2 2
37 4 2
38 1 2
39 4 2
40 2 2
41 1 2
42 2 2
43 1 2
44 3 2
45 3 2
46 2 2
47 1 2
48 4 2
49 2 2
50 2 2
51 2 2
52 3 2
53 4 2
54 3 2
55 3 2
56 2 2
57 3 3
58 2 3
59 4 3
60 4 3
61 2 3
62 1 1
63 2 3
64 3 3
65 1 1
66 2 3
67 3 3
68 3 3
69 3 3
70 4 3
71 2 3
72 1 1
73 3 3
74 3 3
75 4 3
76 2 3
77 2 3
78 3 3
79 4 3
80 2 3
81 4 3
