1 2 3 51.7648 33.9246
2 3 1 36.0044 -41.7764
3 3 2 34.1408 83.033
4 2 3 -51.7809 -63.2586
5 3 3 -25.64 -54.3855
6 3 3 -33.5252 69.4663
7 2 3 -19.7454 1.88834
8 1 3 35.7264 -96.4189
9 4 1 -24.7967 -50.0467
10 1 1 67.728 -96.2241
11 3 1 63.8426 39.424
12 4 1 -9.13685 32.378
13 3 3 63.2475 7.41451
14 2 3 92.2468 15.9825
15 4 3 -93.641 -5.01882
16 3 1 12.5356 91.6658
17 1 3 -87.1873 67.5741
18 4 1 61.6951 67.9164
19 4 3 48.2627 5.99673
20 2 2 -76.2576 -45.1256
21 3 1 -8.4776 18.3128
22 2 2 25.185 -20.1455
23 4 2 -86.441 -38.2514
24 3 2 -19.2168 75.1232
25 3 2 89.7212 -13.5149
26 4 3 3.67807 63.6385
27 3 2 -9.3904 -27.0678
28 3 3 -93.5894 -65.1227
29 4 3 -35.7208 36.6761
30 4 1 -94.3945 -7.79125
31 3 1 -40.4661 87.5658
32 3 2 20.1674 58.8016
33 1 2 -85.4407 -21.869
34 4 1 50.7163 36.0596
35 1 2 -35.9149 43.5817
36 2 2 -99.2783 -31.65
37 3 2 -25.0697 -59.2998
38 4 3 61.4608 29.9643
39 1 1 -15.5036 74.045
40 1 1 -77.4029 8.87656
41 4 2 -0.11982 -5.62163
42 1 2 -51.534 10.8344
43 3 2 84.3028 -63.4599
44 3 3 -71.6198 5.58983
45 1 2 84.4111 5.07136
46 1 2 -78.2678 -53.025
47 3 1 79.6697 -11.5085
48 3 1 -47.3836 12.3569
49 1 1 29.5633 -59.3264
50 2 3 -54.228 -51.7268
51 1 2 -37.3133 -80.4745
52 4 3 79.3201 -30.1288
53 1 3 -80.9722 -58.5805
54 2 3 -75.0861 95.6093
55 3 1 -59.6968 -66.2054
56 3 1 -4.71395 31.5801
57 4 1 67.8184 51.9659
58 3 2 83.7525 -26.4364
59 2 2 -84.9805 -86.9672
60 4 3 92.996 -42.9311
61 4 1 -38.9344 -1.61702
62 2 2 80.9477 -9.40609
63 4 1 6.38399 33.5861
64 4 3 -0.460108 -15.282
65 3 3 23.6108 -69.155
66 1 3 -22.395 -66.4969
67 3 2 83.2631 84.7599
68 2 2 -3.33535 29.4262
69 4 3 -54.0935 37.0591
70 1 3 24.1806 42.858
71 3 3 -82.8327 -74.3927
72 2 2 -0.493187 28.88
73 4 2 -40.3431 -51.6958
74 3 3 -15.3092 26.0702
75 4 1 37.9499 31.2369
76 4 3 84.896 36.8136
77 1 1 -72.3323 48.6682
78 3 3 75.5197 22.2408
79 3 2 -96.4111 63.0707
80 3 1 -52.6963 43.3468
81 4 1 -79.7036 -24.0196
82 3 2 -26.0465 -65.2526
83 3 2 16.254 26.0108
84 3 2 -0.549503 6.53229
85 2 2 50.0368 41.6587
86 1 1 73.2466 -8.84867
87 3 1 82.5379 36.0156
88 4 1 -15.139 -17.577
89 2 1 -48.9583 36.5435
90 4 1 52.6958 -47.277
91 3 1 -71.6805 95.3919
92 4 1 -44.3541 23.4509
93 3 1 -70.7477 15.8135
94 1 1 41.9724 62.0543
95 3 1 98.247 -16.3217
96 3 1 27.9162 -81.538
97 2 1 -1.78 3.90948
98 4 1 77.9263 -28.1739
99 4 1 62.5411 -65.3535
100 4 1 -97.7915 -72.7802
