seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,warmup_before_cycle_sec,cycle_start_offset_sec,expert_bs_id,run_index,source_file,source_condition,best_cycle,best_harmonic_mean,is_noop_to_best,sample_weight
1,multi_greedy,4,2,4,1,1,1,3.041654,81.6667,1.013885,34,0.407978,33,0,1,0,0.407978,0.4846,0.076622,0.076622,0.407978,0.031164,4,29,1,1,24,34,22,105.833,81.6667,54.3333,2.42083,1.022019,0.873879,0.005664,0.000127,0.001733,0.005664,4,4,0,fixed,4,4,0,0,3.0,4.0,1,31,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K4/master_log_1_20260818_015303.csv,multi_greedy_K4,5,0.606825,1,1.11328
9,multi_greedy,10,1,75,0,0,4,0.0,82.8333,0.482898,26,0.321428,42,0,0,0,0.321428,0.459942,0.138514,0.138514,0.321428,0.0,10,0,1,0,26,34,20,82.8333,86.8333,63.6667,0.482898,0.460653,0.628272,5.9e-05,-0.002843,-0.004882,0.0,10,10,0,fixed,10,10,0,0,3.0,4.0,2,19,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_9_20260819_084440.csv,multi_greedy_K10,5,0.541595,0,1.0
1,multi_greedy,10,1,66,2,2,4,0.0,94.8333,0.421793,24,0.376814,33,0,2,0,0.376814,0.526234,0.14942,0.14942,0.376814,0.0,10,0,1,0,20,36,24,69.8333,84.6667,94.8333,0.572793,0.472441,0.421793,0.004029,-0.000816,8.6e-05,0.004029,10,10,0,fixed,10,10,0,0,3.0,4.0,2,11,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_1_20260818_015444.csv,multi_greedy_K10,4,0.676633,1,1.0805799999999999
6,multi_greedy,6,1,50,2,2,1,0.0,57.8333,0.1,25,0.559716,9,1,2,0,0.559716,0.763347,0.203631,0.203631,0.559716,0.0,6,0,0,0,29,26,25,100.0,73.0,57.8333,1.129829,1.096291,0.64931,0.042765,0.044492,0.035274,0.044492,6,6,0,fixed,6,6,0,0,3.0,4.0,2,46,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K6/master_log_6_20260819_061602.csv,multi_greedy_K6,3,0.692557,1,1.88984
7,multi_greedy,6,1,12,2,2,2,0.793432,58.3333,0.099179,26,0.337456,37,0,0,1,0.337456,0.443662,0.106205,0.106205,0.337456,0.0,6,0,1,0,25,29,26,94.1667,85.1667,58.3333,0.835703,0.179992,0.098886,0.017585,0.007541,0.000184,0.017585,6,6,0,fixed,6,6,0,0,3.0,4.0,0,47,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K6/master_log_7_20260818_220722.csv,multi_greedy_K6,5,0.509411,0,1.3517000000000001
1,multi_greedy,10,1,21,0,0,4,0.0,69.8333,0.572793,20,0.376814,33,0,0,0,0.376814,0.526234,0.14942,0.14942,0.376814,0.0,10,0,1,-1,20,36,24,69.8333,84.6667,94.8333,0.572793,0.472441,0.421793,8.6e-05,-0.004659,-0.003776,0.0,10,10,0,fixed,10,10,0,0,3.0,4.0,2,11,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_1_20260818_015444.csv,multi_greedy_K10,4,0.676633,0,1.0
7,multi_greedy,3,2,12,0,0,2,6.477549,99.1667,0.809694,28,0.324799,34,0,0,0,0.324799,0.41118,0.08638,0.08638,0.324799,-0.012657,3,46,1,-1,28,29,23,99.1667,82.6667,54.6667,0.801771,0.175302,0.055457,0.000125,-0.008423,-0.024732,0.0,3,3,0,fixed,3,3,0,0,3.0,4.0,0,27,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K3/master_log_7_20260818_220700.csv,multi_greedy_K3,5,0.517913,1,1.0
3,multi_greedy,4,1,35,0,0,1,3.507445,96.6667,1.169148,25,0.33162,42,0,0,0,0.33162,0.415475,0.083854,0.083854,0.33162,0.0,4,0,1,-1,25,28,27,96.6667,90.0,63.1667,1.165057,1.128767,0.558273,0.00046,0.000313,-0.006897,0.000313,4,4,0,fixed,4,4,0,0,3.0,4.0,0,33,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K4/master_log_3_20260818_131509.csv,multi_greedy_K4,5,0.54884,1,1.00626
5,multi_greedy,8,1,52,2,2,2,0.690674,62.3333,0.086334,30,0.298538,37,0,0,1,0.298538,0.446842,0.148304,0.148304,0.298538,0.0,8,0,1,0,24,26,30,96.6667,85.6667,62.3333,0.708871,0.234063,0.0863,0.016987,0.011773,0.000269,0.016987,8,8,0,fixed,8,8,0,0,3.0,4.0,0,55,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K8/master_log_5_20260819_001229.csv,multi_greedy_K8,3,0.484904,0,1.33974
2,multi_greedy,8,2,16,1,1,2,2.933401,89.3333,0.366675,27,0.37341,27,0,1,0,0.37341,0.629684,0.256273,0.256273,0.37341,0.059261,8,54,1,0,30,27,23,96.8333,89.3333,55.3333,0.550314,0.366596,0.050688,0.001947,0.000117,-0.032378,0.001947,8,8,0,fixed,8,8,0,0,3.0,4.0,1,52,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K8/master_log_2_20260818_073023.csv,multi_greedy_K8,4,0.63112,1,1.03894
9,multi_greedy,3,1,2,1,1,3,0.0,86.8333,1.151632,34,0.321428,42,0,1,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.0,3,0,1,1,26,34,20,82.8333,86.8333,63.6667,1.207244,1.151632,1.57068,0.002936,5.9e-05,-0.002459,0.002936,3,3,0,fixed,3,3,0,0,3.0,4.0,1,29,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K3/master_log_9_20260819_082758.csv,multi_greedy_K3,5,0.465542,1,1.05872
10,multi_greedy,6,1,33,1,1,4,0.0,80.5,0.496894,28,0.30604,37,0,1,0,0.30604,0.403976,0.097936,0.097936,0.30604,0.0,6,0,1,0,28,28,24,97.1667,80.5,64.3333,0.411664,0.496894,0.621762,0.001625,0.000217,-0.00287,0.001625,6,6,0,fixed,6,6,0,0,3.0,4.0,1,40,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K6/master_log_10_20260819_115426.csv,multi_greedy_K6,4,0.427373,1,1.0325
8,multi_greedy,10,1,66,2,2,2,0.855708,66.1667,0.106964,34,0.331071,29,0,2,0,0.331071,0.533826,0.202755,0.202755,0.331071,0.0,10,0,1,0,25,21,34,103.167,80.6667,66.1667,0.753556,0.566906,0.106906,0.026659,0.025999,0.009345,0.026659,10,10,0,fixed,10,10,0,0,3.0,4.0,0,18,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_8_20260819_033618.csv,multi_greedy_K10,4,0.59584,0,1.53318
