run_index,source_file,source_condition,seed,method,max_switches,num_cycles,num_ues,best_cycle,best_harmonic_mean,early_rows_before_sampling,samples_after_sampling,switch_like_samples,noop_samples_kept
0,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_10_20260819_115347.csv,multi_greedy_K1,10,multi_greedy,1,5,80,1,0.30604,160,40,1,39
1,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_1_20260818_015228.csv,multi_greedy_K1,1,multi_greedy,1,5,80,5,0.415871,160,45,7,38
2,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_2_20260818_072353.csv,multi_greedy_K1,2,multi_greedy,1,5,80,1,0.314149,160,40,1,39
3,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_3_20260818_125514.csv,multi_greedy_K1,3,multi_greedy,1,5,80,1,0.33162,160,40,1,39
4,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_4_20260818_182505.csv,multi_greedy_K1,4,multi_greedy,1,5,80,5,0.370629,160,45,7,38
5,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_5_20260819_001757.csv,multi_greedy_K1,5,multi_greedy,1,5,80,1,0.298538,160,40,1,39
6,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_6_20260819_055640.csv,multi_greedy_K1,6,multi_greedy,1,5,80,5,0.620652,160,45,7,38
7,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_7_20260818_220651.csv,multi_greedy_K1,7,multi_greedy,1,5,80,1,0.337456,160,40,1,39
8,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_8_20260819_032459.csv,multi_greedy_K1,8,multi_greedy,1,5,80,5,0.394023,160,45,7,38
9,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K1/master_log_9_20260819_083748.csv,multi_greedy_K1,9,multi_greedy,1,5,80,5,0.360556,160,45,7,38
10,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_10_20260819_115450.csv,multi_greedy_K10,10,multi_greedy,10,5,80,3,0.456225,160,62,30,32
11,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_1_20260818_015444.csv,multi_greedy_K10,1,multi_greedy,10,5,80,4,0.676633,160,77,50,27
12,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_2_20260818_073542.csv,multi_greedy_K10,2,multi_greedy,10,5,80,4,0.621014,160,68,38,30
13,/home/sota/ns-3.44/OUTPUT/80/multi_greedy_K10/master_log_3_20260818_130344.csv,multi_greedy_K10,3,multi_greedy,10,5,80,4,0.60764,160,77,50,27
