seed,samples,teacher_rows_before_filter,teacher_rows_after_filter,measured_delta,master_file,teacher_file,reason
1,56,56,56,0.37653500000000006,OUTPUT/80/logistic/master_log_1_20260831_153959.csv,OUTPUT/80/logistic/centralized_teacher_log_1_20260831_153959.csv,ok
2,56,56,56,0.384872,OUTPUT/80/logistic/master_log_2_20260831_210650.csv,OUTPUT/80/logistic/centralized_teacher_log_2_20260831_210650.csv,ok
3,63,63,63,0.39056099999999994,OUTPUT/80/logistic/master_log_3_20260901_025039.csv,OUTPUT/80/logistic/centralized_teacher_log_3_20260901_025039.csv,ok
4,48,48,48,0.14081700000000003,OUTPUT/80/logistic/master_log_4_20260901_083442.csv,OUTPUT/80/logistic/centralized_teacher_log_4_20260901_083442.csv,ok
5,57,57,57,0.284201,OUTPUT/80/logistic/master_log_5_20260901_135718.csv,OUTPUT/80/logistic/centralized_teacher_log_5_20260901_135718.csv,ok
6,48,48,48,0.38003200000000004,OUTPUT/80/logistic/master_log_6_20260831_154022.csv,OUTPUT/80/logistic/centralized_teacher_log_6_20260831_154022.csv,ok
7,55,55,55,0.32518800000000003,OUTPUT/80/logistic/master_log_7_20260831_214053.csv,OUTPUT/80/logistic/centralized_teacher_log_7_20260831_214053.csv,ok
8,50,50,50,0.311064,OUTPUT/80/logistic/master_log_8_20260901_033645.csv,OUTPUT/80/logistic/centralized_teacher_log_8_20260901_033645.csv,ok
9,64,64,64,0.26488300000000004,OUTPUT/80/logistic/master_log_9_20260901_072713.csv,OUTPUT/80/logistic/centralized_teacher_log_9_20260901_072713.csv,ok
10,54,54,54,0.252163,OUTPUT/80/logistic/master_log_10_20260901_131924.csv,OUTPUT/80/logistic/centralized_teacher_log_10_20260901_131924.csv,ok
11,53,53,53,0.334055,OUTPUT/80/logistic/master_log_11_20260831_154042.csv,OUTPUT/80/logistic/centralized_teacher_log_11_20260831_154042.csv,ok
12,49,49,49,0.125403,OUTPUT/80/logistic/master_log_12_20260831_212741.csv,OUTPUT/80/logistic/centralized_teacher_log_12_20260831_212741.csv,ok
13,51,51,51,0.321253,OUTPUT/80/logistic/master_log_13_20260901_032212.csv,OUTPUT/80/logistic/centralized_teacher_log_13_20260901_032212.csv,ok
14,52,52,52,0.290648,OUTPUT/80/logistic/master_log_14_20260901_091504.csv,OUTPUT/80/logistic/centralized_teacher_log_14_20260901_091504.csv,ok
15,59,59,59,0.35647999999999996,OUTPUT/80/logistic/master_log_15_20260901_143013.csv,OUTPUT/80/logistic/centralized_teacher_log_15_20260901_143013.csv,ok
16,52,52,52,0.265762,OUTPUT/80/logistic/master_log_16_20260831_154114.csv,OUTPUT/80/logistic/centralized_teacher_log_16_20260831_154114.csv,ok
17,47,47,47,0.26813999999999993,OUTPUT/80/logistic/master_log_17_20260831_213733.csv,OUTPUT/80/logistic/centralized_teacher_log_17_20260831_213733.csv,ok
18,51,51,51,0.16155999999999998,OUTPUT/80/logistic/master_log_18_20260901_021419.csv,OUTPUT/80/logistic/centralized_teacher_log_18_20260901_021419.csv,ok
19,53,53,53,0.277381,OUTPUT/80/logistic/master_log_19_20260901_081254.csv,OUTPUT/80/logistic/centralized_teacher_log_19_20260901_081254.csv,ok
20,56,56,56,0.15360400000000002,OUTPUT/80/logistic/master_log_20_20260901_140910.csv,OUTPUT/80/logistic/centralized_teacher_log_20_20260901_140910.csv,ok
21,57,57,57,0.16105200000000003,OUTPUT/80/logistic/master_log_21_20260831_154131.csv,OUTPUT/80/logistic/centralized_teacher_log_21_20260831_154131.csv,ok
22,56,56,56,0.41676199999999997,OUTPUT/80/logistic/master_log_22_20260831_213917.csv,OUTPUT/80/logistic/centralized_teacher_log_22_20260831_213917.csv,ok
23,47,47,47,0.17558,OUTPUT/80/logistic/master_log_23_20260901_032602.csv,OUTPUT/80/logistic/centralized_teacher_log_23_20260901_032602.csv,ok
24,53,53,53,0.20153800000000005,OUTPUT/80/logistic/master_log_24_20260901_083132.csv,OUTPUT/80/logistic/centralized_teacher_log_24_20260901_083132.csv,ok
25,54,54,54,0.280595,OUTPUT/80/logistic/master_log_25_20260901_142631.csv,OUTPUT/80/logistic/centralized_teacher_log_25_20260901_142631.csv,ok
26,50,50,50,0.29396799999999995,OUTPUT/80/logistic/master_log_26_20260831_154146.csv,OUTPUT/80/logistic/centralized_teacher_log_26_20260831_154146.csv,ok
27,53,53,53,0.21911099999999994,OUTPUT/80/logistic/master_log_27_20260831_213037.csv,OUTPUT/80/logistic/centralized_teacher_log_27_20260831_213037.csv,ok
29,48,48,48,0.28744099999999995,OUTPUT/80/logistic/master_log_29_20260901_055624.csv,OUTPUT/80/logistic/centralized_teacher_log_29_20260901_055624.csv,ok
30,47,47,47,0.10225299999999998,OUTPUT/80/logistic/master_log_30_20260901_104152.csv,OUTPUT/80/logistic/centralized_teacher_log_30_20260901_104152.csv,ok
