seed,samples,teacher_rows_before_filter,teacher_rows_after_filter,measured_delta,master_file,teacher_file,reason
1,56,56,56,0.37653500000000006,OUTPUT/80/logistic/master_log_1_20260831_153959.csv,OUTPUT/80/logistic/centralized_teacher_log_1_20260831_153959.csv,ok
2,56,56,56,0.384872,OUTPUT/80/logistic/master_log_2_20260831_210650.csv,OUTPUT/80/logistic/centralized_teacher_log_2_20260831_210650.csv,ok
3,63,63,63,0.39056099999999994,OUTPUT/80/logistic/master_log_3_20260901_025039.csv,OUTPUT/80/logistic/centralized_teacher_log_3_20260901_025039.csv,ok
4,48,48,48,0.14081700000000003,OUTPUT/80/logistic/master_log_4_20260901_083442.csv,OUTPUT/80/logistic/centralized_teacher_log_4_20260901_083442.csv,ok
5,57,57,57,0.284201,OUTPUT/80/logistic/master_log_5_20260901_135718.csv,OUTPUT/80/logistic/centralized_teacher_log_5_20260901_135718.csv,ok
6,48,48,48,0.38003200000000004,OUTPUT/80/logistic/master_log_6_20260831_154022.csv,OUTPUT/80/logistic/centralized_teacher_log_6_20260831_154022.csv,ok
7,55,55,55,0.32518800000000003,OUTPUT/80/logistic/master_log_7_20260831_214053.csv,OUTPUT/80/logistic/centralized_teacher_log_7_20260831_214053.csv,ok
8,50,50,50,0.311064,OUTPUT/80/logistic/master_log_8_20260901_033645.csv,OUTPUT/80/logistic/centralized_teacher_log_8_20260901_033645.csv,ok
9,64,64,64,0.26488300000000004,OUTPUT/80/logistic/master_log_9_20260901_072713.csv,OUTPUT/80/logistic/centralized_teacher_log_9_20260901_072713.csv,ok
10,54,54,54,0.252163,OUTPUT/80/logistic/master_log_10_20260901_131924.csv,OUTPUT/80/logistic/centralized_teacher_log_10_20260901_131924.csv,ok
11,53,53,53,0.334055,OUTPUT/80/logistic/master_log_11_20260831_154042.csv,OUTPUT/80/logistic/centralized_teacher_log_11_20260831_154042.csv,ok
12,49,49,49,0.125403,OUTPUT/80/logistic/master_log_12_20260831_212741.csv,OUTPUT/80/logistic/centralized_teacher_log_12_20260831_212741.csv,ok
13,51,51,51,0.321253,OUTPUT/80/logistic/master_log_13_20260901_032212.csv,OUTPUT/80/logistic/centralized_teacher_log_13_20260901_032212.csv,ok
14,52,52,52,0.290648,OUTPUT/80/logistic/master_log_14_20260901_091504.csv,OUTPUT/80/logistic/centralized_teacher_log_14_20260901_091504.csv,ok
15,59,59,59,0.35647999999999996,OUTPUT/80/logistic/master_log_15_20260901_143013.csv,OUTPUT/80/logistic/centralized_teacher_log_15_20260901_143013.csv,ok
