seed,cycle_id,step_id,target_ue_id,current_bs_id,selected_bs_id,advantage,q_bs0,q_bs1,q_bs2
1001,1,0,20,2,1,0.171436,0.256865,0.398288,0.226853
1001,1,1,35,2,1,0.158216,0.261586,0.387827,0.229611
1001,1,2,4,2,1,0.145295,0.265687,0.377384,0.232089
1001,1,3,10,2,1,0.135177,0.269090,0.368521,0.233344
1001,1,4,21,2,1,0.112732,0.269357,0.350138,0.237405
1001,1,5,23,2,1,0.099663,0.269018,0.342647,0.242984
1001,1,6,9,2,1,0.088970,0.267838,0.341431,0.252461
1001,1,7,15,2,1,0.078799,0.268843,0.338182,0.259383
1001,2,0,29,2,1,0.128979,0.253559,0.333938,0.204959
1001,2,1,80,2,1,0.124779,0.254888,0.334814,0.210035
1001,2,2,20,2,1,0.119563,0.254690,0.335982,0.216419
1001,2,3,21,2,1,0.112818,0.254350,0.336937,0.224120
1001,2,4,7,2,1,0.102821,0.253423,0.336928,0.234107
1001,2,5,75,2,1,0.096225,0.251551,0.337848,0.241623
1001,2,6,9,2,1,0.093217,0.250957,0.340674,0.247457
1001,2,7,10,2,1,0.096946,0.249946,0.351752,0.254806
1001,3,0,23,2,1,0.187992,0.184662,0.280485,0.092493
1001,3,1,42,2,1,0.192539,0.183414,0.284667,0.092128
1001,3,2,29,2,1,0.198977,0.179963,0.290922,0.091945
1001,3,3,34,2,1,0.205609,0.177247,0.296302,0.090693
1001,3,4,4,2,1,0.211581,0.176129,0.305604,0.094023
1001,3,5,7,2,1,0.216932,0.173205,0.320121,0.103188
1001,3,6,10,2,1,0.223359,0.172211,0.334395,0.111037
1001,3,7,9,2,1,0.226841,0.171220,0.345294,0.118453
1001,4,0,4,2,1,0.206826,0.079097,0.155030,-0.051796
1001,4,1,80,2,1,0.210031,0.073481,0.155635,-0.054397
1001,4,2,7,2,1,0.214639,0.072011,0.159396,-0.055243
1001,4,3,69,2,1,0.215494,0.070737,0.163098,-0.052395
1001,4,4,9,2,1,0.216695,0.067173,0.171823,-0.044872
1001,4,5,10,2,1,0.219949,0.064668,0.184732,-0.035217
1001,4,6,15,2,1,0.222981,0.062294,0.199113,-0.023868
1001,4,7,75,2,1,0.218055,0.057718,0.205714,-0.012340
1001,5,0,69,2,1,0.247460,-0.007255,0.045433,-0.202027
1001,5,1,9,2,1,0.241862,-0.009689,0.048185,-0.193677
1001,5,2,75,2,1,0.232088,-0.013449,0.047212,-0.184876
1001,5,3,60,2,1,0.222425,-0.018179,0.046267,-0.176158
1001,5,4,7,2,1,0.207115,-0.025864,0.040710,-0.166405
1001,5,5,80,2,1,0.191941,-0.032638,0.037739,-0.154202
1001,5,6,10,2,1,0.182318,-0.038335,0.039380,-0.142938
1001,5,7,67,2,1,0.169829,-0.043803,0.039728,-0.130101
