source_file,seed,cycle_id,target_ue_id,target_mode,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,reward,next_cycle_id,next_current_bs_id,next_app_type,next_tp_mbps,next_rtt_ms,next_satisfaction,next_num_users_on_current_bs,next_harmonic_mean,next_num_unsatisfied_users,next_target_ue_flag,acted_ue_bs_after,acted_ue_tp_after,acted_ue_rtt_after,acted_ue_satisfaction_after,done,measurement_valid,next_measurement_valid
master_log_80_multi_greedy_20260719_170117.csv,1,1,9,top_k_low,2,2,0.878679,217.667000,0.109835,24,0.324643,53,1,2,0.151071,2,2,2,0.775974,54.333300,0.096997,21,0.475714,29,0,2,0.775974,54.333300,0.096997,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,1,14,top_k_low,2,2,0.883076,217.667000,0.110385,24,0.324643,53,0,2,0.151071,2,2,2,0.773811,54.333300,0.096726,21,0.475714,29,1,2,0.773811,54.333300,0.096726,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,1,79,top_k_low,1,2,0.923450,82.666700,0.115431,36,0.324643,53,0,1,0.151071,2,1,2,1.475426,77.166700,0.184428,31,0.475714,29,0,1,1.475426,77.166700,0.184428,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,1,65,top_k_low,1,2,0.925672,82.666700,0.115709,36,0.324643,53,0,1,0.151071,2,1,2,1.477596,77.166700,0.184699,31,0.475714,29,0,1,1.477596,77.166700,0.184699,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,1,46,top_k_low,1,2,1.020774,82.666700,0.127597,36,0.324643,53,0,1,0.151071,2,1,2,1.478705,77.166700,0.184838,31,0.475714,29,0,1,1.478705,77.166700,0.184838,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,1,33,top_k_low,1,2,1.069847,82.666700,0.133731,36,0.324643,53,0,1,0.151071,2,1,2,1.480809,77.166700,0.185101,31,0.475714,29,0,1,1.480809,77.166700,0.185101,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,1,53,top_k_low,1,2,1.097265,82.666700,0.137158,36,0.324643,53,0,1,0.151071,2,1,2,1.477502,77.166700,0.184688,31,0.475714,29,0,1,1.477502,77.166700,0.184688,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,1,31,top_k_low,1,2,1.232695,82.666700,0.154087,36,0.324643,53,0,1,0.151071,2,1,2,1.480826,77.166700,0.185103,31,0.475714,29,0,1,1.480826,77.166700,0.185103,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,2,14,top_k_low,2,2,0.773811,54.333300,0.096726,21,0.475714,29,1,0,0.129475,3,0,2,3.830590,110.500000,0.478824,36,0.605189,43,0,0,3.830590,110.500000,0.478824,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,2,9,top_k_low,2,2,0.775974,54.333300,0.096997,21,0.475714,29,0,0,0.129475,3,0,2,3.864384,110.500000,0.483048,36,0.605189,43,0,0,3.864384,110.500000,0.483048,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,2,79,top_k_low,1,2,1.475426,77.166700,0.184428,31,0.475714,29,0,1,0.129475,3,1,2,3.676414,74.000000,0.459552,25,0.605189,43,0,1,3.676414,74.000000,0.459552,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,2,53,top_k_low,1,2,1.477502,77.166700,0.184688,31,0.475714,29,0,1,0.129475,3,1,2,3.743164,74.000000,0.467895,25,0.605189,43,0,1,3.743164,74.000000,0.467895,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,2,2,top_k_low,1,2,1.477517,77.166700,0.184690,31,0.475714,29,0,1,0.129475,3,1,2,3.677526,74.000000,0.459691,25,0.605189,43,0,1,3.677526,74.000000,0.459691,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,2,65,top_k_low,1,2,1.477596,77.166700,0.184699,31,0.475714,29,0,0,0.129475,3,0,2,3.602217,110.500000,0.450277,36,0.605189,43,0,0,3.602217,110.500000,0.450277,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,2,51,top_k_low,1,2,1.478566,77.166700,0.184821,31,0.475714,29,0,0,0.129475,3,0,2,3.602140,110.500000,0.450268,36,0.605189,43,0,0,3.602140,110.500000,0.450268,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,2,46,top_k_low,1,2,1.478705,77.166700,0.184838,31,0.475714,29,0,0,0.129475,3,0,2,3.599929,110.500000,0.449991,36,0.605189,43,0,0,3.599929,110.500000,0.449991,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,3,13,top_k_low,0,4,0.000000,110.500000,0.361991,36,0.605189,43,1,2,0.060149,4,2,4,0.000000,51.833300,0.771705,27,0.665338,35,0,2,0.000000,51.833300,0.771705,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,3,19,top_k_low,0,4,0.000000,110.500000,0.361991,36,0.605189,43,0,2,0.060149,4,2,4,0.000000,51.833300,0.771705,27,0.665338,35,0,2,0.000000,51.833300,0.771705,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,3,21,top_k_low,0,4,0.000000,110.500000,0.361991,36,0.605189,43,0,2,0.060149,4,2,4,0.000000,51.833300,0.771705,27,0.665338,35,0,2,0.000000,51.833300,0.771705,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,3,32,top_k_low,0,4,0.000000,110.500000,0.361991,36,0.605189,43,0,2,0.060149,4,2,4,0.000000,51.833300,0.771705,27,0.665338,35,0,2,0.000000,51.833300,0.771705,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,3,34,top_k_low,0,4,0.000000,110.500000,0.361991,36,0.605189,43,0,2,0.060149,4,2,4,0.000000,51.833300,0.771705,27,0.665338,35,0,2,0.000000,51.833300,0.771705,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,3,36,top_k_low,0,4,0.000000,110.500000,0.361991,36,0.605189,43,0,2,0.060149,4,2,4,0.000000,51.833300,0.771705,27,0.665338,35,0,2,0.000000,51.833300,0.771705,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,3,44,top_k_low,0,4,0.000000,110.500000,0.361991,36,0.605189,43,0,0,0.060149,4,0,4,0.000000,111.500000,0.358744,28,0.665338,35,1,0,0.000000,111.500000,0.358744,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,3,48,top_k_low,0,4,0.000000,110.500000,0.361991,36,0.605189,43,0,2,0.060149,4,2,4,0.000000,51.833300,0.771705,27,0.665338,35,0,2,0.000000,51.833300,0.771705,0,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,4,44,top_k_low,0,4,0.000000,111.500000,0.358744,28,0.665338,35,1,2,0.024546,5,2,4,0.000000,55.666700,0.718562,34,0.689884,28,0,2,0.000000,55.666700,0.718562,1,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,4,50,top_k_low,0,4,0.000000,111.500000,0.358744,28,0.665338,35,0,2,0.024546,5,2,4,0.000000,55.666700,0.718562,34,0.689884,28,0,2,0.000000,55.666700,0.718562,1,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,4,56,top_k_low,0,4,0.000000,111.500000,0.358744,28,0.665338,35,0,2,0.024546,5,2,4,0.000000,55.666700,0.718562,34,0.689884,28,0,2,0.000000,55.666700,0.718562,1,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,4,65,top_k_low,0,2,3.573633,111.500000,0.446704,28,0.665338,35,0,0,0.024546,5,0,2,3.784668,112.000000,0.473084,24,0.689884,28,0,0,3.784668,112.000000,0.473084,1,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,4,46,top_k_low,0,2,3.573699,111.500000,0.446712,28,0.665338,35,0,0,0.024546,5,0,2,3.785767,112.000000,0.473221,24,0.689884,28,0,0,3.785767,112.000000,0.473221,1,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,4,51,top_k_low,0,2,3.573716,111.500000,0.446715,28,0.665338,35,0,0,0.024546,5,0,2,3.785737,112.000000,0.473217,24,0.689884,28,0,0,3.785737,112.000000,0.473217,1,1,1
master_log_80_multi_greedy_20260719_170117.csv,1,4,9,top_k_low,0,2,3.574844,111.500000,0.446855,28,0.665338,35,0,0,0.024546,5,0,2,3.787923,112.000000,0.473490,24,0.689884,28,0,0,3.787923,112.000000,0.473490,1,1,1
